original,paraphrase
"Ob priložnostnem kulturnem programu na šolskem dvorišču je župan Leopold Grošelj ključe novega minibusa izročil ravnatelju Nikolaju Toplaku, ta pa jih je predal v skrbne roke voznika Milana Vidmarja.","Ob kulturnem programu na šolskem dvorišču je župan Leopold Grošelj izročil ključe novega minibusa ravnatelju Nikolaju Toplaku, ta pa jih je predal v skrbne roke vozniku avtobusa Milanu Vidmarju."
Za denar govorijo tudi Kitajci,Kitajci govorijo o denarju.
"Madžari so veliko uspešnejši pri trgovanju z nami, saj jih pri tem podpira tudi država","Madžari so veliko bolj uspešni pri trgovanju z nami, saj jih podpira tudi država"
Rešitev je tudi kmečki turizem,Rešitev je v podeželskem turizmu.
Starostno zelo pisana druščina 32 slušateljev je dobila certifikat za registracijo dejavnosti,Skupina 32 študentov je prejela potrdilo za prijavo dejavnosti na razpis
Računalnik za gluhonemo dijakinjo,Računalnik za gluhega študenta
Dr. Jože Florjančič med organizatorji dela,Med organizatorji tudi dr. Jože Florjančič
"Oblast je zato, da se jo napada, je rekel ameriški revolucionar Tom Paine, zaslužen za neodvisnost ZDA. Hotel je reči, da ima oblast že sama po sebi toliko sredstev moči, da ji nikakor ni treba prizanašati s kritiko. To velja še posebej za obveščevalno službo, ki pri svojem delu uporablja toliko umazanih sredstev, trikov in prijemov, da jo je že samo zato treba dati večkrat pod ostro lupo kritike. Prav ima avtor angleškega filma o boju proti irski podtalni organizaciji IRA, ki je o obveščevalni službi dejal: ""V državi obstajata dva zakona: eden, ki velja za obveščevalno službo, in drugi, ki velja za vse druge.""","Za napad na vlado, je dejal ameriški revolucionar Tom Paine, ki je odgovoren za neodvisnost Združenih držav Amerike. Želel je povedati, da ima vlada sama toliko moči, da ji ni treba prizaneseno kritiko. To velja zlasti za obveščevalne službe, ki uporablja toliko umazanih sredstev, triki in prijemi v svojem delu, ki ga je treba dati pod žarometi ostre kritike večkrat. Avtor angleškega filma o boju proti irski underground organizacije IRA, ki je dejal, o: obveščevalne službe ""Obstajata dva zakona v državi, ena, ki velja za obveščevalne službe, in drugi, ki velja za vse druge."""
"Delal je v Mantovi in Firencah, v Egiptu in Savdski Arabiji. Nedavno je, star skoraj že 75 let, nastopil novo službo kot tehnični direktor v Aleksandriji.","Delal je v Mantovi, Firencah, Egiptu in Savdski Arabiji, pred kratkim, skoraj 75 let, pa se je zaposlil kot tehnični direktor v Aleksandriji."
"Povprečne nominalne bruto plače so bile v letošnjem oktobru za 17,8 odstotka višje kot oktobra lani, v gospodarstvu za 16,6 odstotka in v negospodarstvu za 19,5. Realne bruto plače so se v tem obdobju zvišale za 6,9 odstotka.","Povprečna nominalna bruto plača je bila oktobra letos za 17,8% višja kot oktobra lani, v gospodarstvu za 16,6%, v negospodarstvu pa za 19,5% višja, medtem ko se je realna bruto plača v tem obdobju zvišala za 6,9%."
