original,paraphrase
"Spremenljivo do pretežno oblačno bo. Občasno bodo še krajevne plohe. Najnižje jutranje temperature bodo od 10 do 15, ob morju 18, najvišje dnevne od 14 do 19, ob morju do 22 stopinj C.","Najnižje jutranje temperature bodo od 10 do 15, ob morju 18, najvišje dnevno od 14 do 19, ob morju pa do 22 stopinj C."
"Poslednji primer je Tout va bien Clauda Mouriérasa. »Med Natacho Régnier in menoj se je zares nekaj zgodilo, nekakšna alkimija, presenečenje, da si stojiva iz oči v oči.« Lep primer napornih odnosov med igralci: najprej so tri mesece intenzivno skupaj, potem pa nenadoma nič. Piccoli se jim je odlično prilagodil. Zunaj poklicnega življenja pa se ne sestaja z igralci. Ne ve, zakaj. Rad ima raznolikost in ne mara 365 dni na leto stanovskega zarotništva. Ne mara tudi nostalgije za temi izjemnimi trenutki. Z Gérardom Depardieujem je posnel sedem filmov (prvi je bil Vincent, François, Paul in drugi Clauda Sauteta leta 1974). »Takoj me je navdušil, še takrat, ko so govorili, da zbuja strah, da zaradi videza nikoli ne bo mogel biti igralec. Zdaj ga ne videvam več, a ko se bova spet srečala, se bova iskreno objela.«","Zadnji primer je Tout va bien Claude Mouriérasa. ""Nekaj se je res zgodilo med Natacha Régnier in mano, neke vrste alkimijo, presenečenje, da stojimo iz oči v oči."" Lep primer težkega odnosa med akterji: najprej so intenzivno preživeli tri mesece skupaj, nato pa nenadoma nič. Piccoli se jim je popolnoma prilagodil. Zunaj svojega poklicnega življenja se ne srečuje z igralci. Ne ve, zakaj. Všeč mu je raznolikost in ne mara 365 dni v letu poklicnih zarot. Prav tako ne mara nostalgije za temi izjemnimi trenutki. Zdaj je posnel sedem filmov z Gérardom Depardieujem (prvi je bil Vincent, François, Paul,,) in drugi Sauda leta 1974. ""Takoj me je strah, da se igralec ne bo nikoli več srečal z njim."
"Piccoli izmenjaje nastopa na filmu in v gledališču. Od vsega se bi zdaj najlaže odpovedal komediji. Imel je neponovljivo priložnost posneti film Alors voilà leta 1997 in ta mu zadostuje. Ne želi si postati star igralec. Ne želi si, da bi mu podelili cezarja za življenjsko delo. Zagotovo bi ga zavrnil. Bil bi zadovoljen, če bi lahko mislil samo na pisanje in režijo.","Piccoli preklaplja med filmom in gledališčem in zdaj je najlažje opustiti komedijo. Imel je neponovljivo priložnost, da je leta 1997 posnel film Alors voilà in to mu je zadostovalo. noče postati star igralec. ne želi dobiti cezarja za svoje življenjsko delo. zavrnil bi in zadovoljen bi bil, če bi lahko razmišljal samo o pisanju in režiji."
"Rim - Pred rimskim sodiščem se je začel sodni proces proti štirim generalom, nekdanjim poveljnikom italijanskega vojaškega letalstva in kasneje glavnim šefom oboroženih sil, poleg njih pa še proti petim visokim častnikom, ki so vodili tajne službe v obdobju, ko je nad otokom Ustico severno od Sicilije umrlo 81 potnikov in članov posadke letala DC-9 družbe Itavia, ki so prihajali iz Bologne in so se pripravljali na pristanek v Palermu. Preiskave so trajale dve desetletji, sodnik Rosario Priore je pripravljal pet tisoč strani dolgo obtožnico celih sedem let, generali in častniki pa so obtoženi veleizdaje, laži in zavajanja javnosti. Zamolčali naj bi, da je bilo letalo sestreljeno, odstranili naj bi vse dokaze o dogodku, v javnosti pa pomagali razširiti govorice, da je bilo potniško letalo staro in dotrajano.","Rim - Pred rimskim sodiščem se je začelo sojenje štirim generalom, nekdanjim poveljnikom italijanskega vojaškega letalstva in kasnejšim načelnikom oboroženih sil ter petim visokim častnikom, ki so bili odgovorni za tajne službe v obdobju, ko je na otoku Ustica severno od Sicilije umrlo 81 potnikov in članov posadke letala Itavia DC-9, ki so prišli iz Bologne in se pripravljali na pristanek v Palermu. Preiskave so trajale dve desetletji. sodnik Rosario Priore je pripravil sedemletno obtožnico na 5000 straneh, generali in častniki pa so obtoženi veleizdaje javnosti, laži in prevare. domnevno so odstranili vse dokaze o dogodku v javnosti in pomagali širiti staromodne in stare govorice o potnikih."
Spodletel poskus vmešavanja vojske v politiko na Hrvaškem,Neuspešno vojaško vmešavanje v hrvaško politiko
"Zagreb - Odločitev hrvaškega predsednika in vrhovnega poveljnika Hrvaške vojske (HV) Stjepana Mesića, da upokoji sedem generalov, ki so v odprtem pismu protestirali proti »negativističnemu in zgodovinsko neresničnemu prikazovanju domovinske vojne«, je v soboto in nedeljo sprožila ognjevite odmeve in napetosti v hrvaški politiki. Domoljubni in državotvorni del politike, kakor sami sebe imenujejo HDZ, pravaši in organizacije vojnih veteranov, je Mesićev ukrep označil za »režimski terorizem in napad na hrvaško državo«. Vladne stranke Mesića podpirajo, češ da generali ne smejo posegati v politiko in komentirati potez oblasti.","Zagreb - Odločitev hrvaškega predsednika in vrhovnega poveljnika hrvaških oboroženih sil (HV) Stjepana Mesića o upokojitvi sedmih generalov, ki so v odprtem pismu protestirali proti ""negativističnemu in zgodovinsko neresničnemu prikazovanju domovinske vojne "", je v soboto in nedeljo sprožila burne odmeve in napetosti v hrvaški politiki. Patriotska in državotvorna del politike, kot se imenujejo HDZ, zakon in organizacije vojnih veteranov, je Mesićevo dejanje opisala kot"" režimski terorizem in napad na hrvaško državo ""."
"Podgorica - Črnogorsko društvo neodvisnih književnikov je prebivalce Črne gore javno pozvalo, naj se združijo okoli najvišjih državnih interesov. Od skupščine zahtevajo, naj takoj sprejme deklaracijo o legalizaciji političnih razmer v Črni gori, se začne pogajati z legalnimi predstavniki Srbije o mirni razdružitvi in - če ne bo dosežen za obe strani sprejemljiv dogovor - v treh mesecih sprejme sklep o razpisu referenduma o neodvisnosti.","Podgorica - Združenje neodvisnih pisateljev Črne gore je javno pozvalo črnogorsko ljudstvo, naj se združi v najvišje državne interese, naj od skupščine zahteva, da nemudoma sprejme deklaracijo o legalizaciji političnih razmer v Črni gori, naj začne pogajanja z zakonitimi predstavniki Srbije o mirni ločitvi in naj, če ne bo dosežen sporazum, sprejemljiv za obe strani, v treh mesecih sprejme sklep o razpisu referenduma o neodvisnosti."
Politika in orožje,Politika in orožje
"Indijski pogajalci so zahtevali velike popuste za nakup ruskega orožja, pa tudi podporo Moskve v kašmirskem sporu","Indijski pogajalci so zahtevali velike popuste pri nakupu ruskega orožja, pa tudi podporo Moskve v sporu glede Kašmirja."
Od našega dopisnika,Od našega dopisnika
