original,paraphrase
"Pogoste prihode in odhode neznancev so sčasoma opazili tudi sosedje. »Postalo je splošno znano, da gre za erotično masažo. To je postalo moteče, posebno za tiste, ki živimo v istem hodniku in imamo tudi otroke,« je povedal eden od stanovalcev, ki je prisostvoval kot priča tudi pri hišni preiskavi.","Pogoste prihode in odhode tujcev so opazili tudi sosedje. ""Na splošno je postalo znano, da je to erotična masaža. To je postalo moteče, še posebej za tiste, ki živijo v istem hodniku in imajo tudi otroke,"" je dejal neki prebivalec, ki je kot priča pri hišni preiskavi tudi pričeval."
"Sodnico je zanimalo, ali je kriminalist videl kakšna zelišča in omare zanje. »Kakšna zelišča neki! V salonu ni bilo nobene omare in zelišč. Omare so bile le v kuhinji. Ob našem prihodu je v salonu neki moški gol visel na telovadni lestvi, privezan z verigami in pasovi, punca pa je imela v rokah injekcijo in jo držala proti njegovemu penisu.«","Sodnika je zanimalo, ali je zločinec videl kakšna zelišča in omare zanje. ""V enem od salonov ni bilo nobenih omar in zelišč, garderobe so bile samo v kuhinji. Ko smo prišli v salon, je neki moški nag visel na fitnes lestvi, bil je zvezan z verigami in pasovi, deklica pa je v rokah držala iglo in ga držala ob svojem penisu."""
Foto Iztok Umer,Fotografija Iztok Umer
Menjalnica Šifra - le nekaj minut po ropu so prišli kriminalisti in policisti portoroške postaje in koprske policijske uprave.,Le nekaj minut po ropu so prišli kriminalisti in policisti postaje v Portorožu ter koprske policijske uprave.
Vili Einspieler,Vila Einspieler
"Bled - Devetinštiridesetletni J. V. iz Varaždina je od 25. marca do 14. julija bival v hotelu na Bledu. Vodstvo hotela ga je večkrat opozorilo, naj račune za hotelske storitve plačuje vsak teden sproti, vendar se je Varaždinec plačilu izmikal in jim natvezil, da bo plačal, ko bo odšel iz hotela. Ko so se 14. julija spet pogovarjali z gostom, so v hotelu ugotovili, da J. V. sploh nima dovolj denarja, da bi plačal račun, ki je tistega dne znašal že 775.013 tolarjev. Zato so mu odrekli gostoljubje in z njim napisali pogodbo o obročnem odplačevanju, ki naj bi ga Varaždinec poravnal do zadnjega avgusta. Ker dolga še vedno ni plačal, ga je vodstvo hotela zaradi goljufije prijavilo na radovljiški policijski postaji. J. S.","Bled - Devetinštiridesetletni J. V. iz Varaždina je od 25. marca do 14. julija bival v hotelu na Bledu. Vodstvo hotela ga je večkrat opozorilo, da mora plačevati račune za hotelske storitve na tedenski osnovi, vendar se je Varaždin izogibal plačevanju in jim rekel, da bo plačal, ko bo 14. julija spet zapustil hotel. Ko so v hotelu ponovno govorili z gostom, so ugotovili, da J. V. nima dovolj denarja za plačilo računa, ki je takrat že znašal 775.013 tolarjev. Zato so mu odrekli gostoljubje in z njim napisali pogodbo za plačilo v obrokih, ki naj bi ga Varaždin plačal do zadnjega avgusta. Ker dolg še vedno ni bil plačan, ga je vodstvo hotela prijaviti zaradi goljufije na policijski postaji J. S."
Kupec je bil ropar,Kupec je bil lopov.
"Maribor, Ljubljana - Usoda Janeza Gajška, v začetku 90. let direktorja mariborske Metalne in predsednika mariborskega odbora Slovenskih krščanskih demokratov, sedaj pa člana izvršilnega odbora SKD, ostaja še nadalje nejasna.","Maribor, Ljubljana - Usoda Janeza Gajšeka, v začetku devetdesetih let, direktorja mariborske Metalne in predsednika mariborskega komiteja Slovenskih krščanskih demokratov, zdaj člana izvršilnega odbora SKD, še naprej ostaja nejasna."
"P. R., M. B., C. R.","P. R., M. B., C. R."
"Ekipa policistov je dan in noč na terenu, vendar kakšnih oprijemljivih sledi na težko dostopnem terenu nad kmetijo niso našli.","Skupina častnikov je dan in noč na tleh, toda nad kmetijo niso našli nobenih oprijemljivih sledi."
