original,paraphrase
"Novi zakon usklajuje slovensko zakonodajo na področju zasebnega varovanja s predpisi Evropske unije in tako zagotavlja njeno pripravljenost za članstvo v Evropski uniji. Tako je določena ureditev treh temeljnih svobod oziroma načel, ki bodo po majskem vstopu v EU zavezujoča tudi za našo državo, pravica do prostega gibanja delavcev, pravica do svobodnega ustanavljanja sedeža podjetij in pravica do svobodnega opravljanja storitev. Posledično je (oziroma bo po vstopu v EU) ukinjen pogoj, da morajo biti zasebni varnostniki državljani Slovenije, saj bodo lahko poslej to delo opravljali državljani vseh članic EU, prav tako pa bodo varnostno službo pri nas ponujala vsa tovrstna tuja podjetja iz Unije. Verjetno bomo tudi na tem področju priče vstopu uveljavljenih tujih družb na naš trg.","Novi zakon usklajuje slovensko zakonodajo na področju zasebnega varovanja s predpisi Evropske unije, s čimer zagotavlja njeno pripravljenost za članstvo v Evropski uniji. Tako bo ureditev treh temeljnih svoboščin oziroma načel, ki bodo za našo državo zavezujoča po majskem vstopu v EU, pravica do prostega gibanja delavcev, pravica do prostega ustanavljanja podjetij in pravica do svobodnega opravljanja storitev. S tem bo pogoj, da morajo biti zasebni varnostniki državljani Slovenije, saj bodo odslej to delo lahko opravljali državljani vseh držav članic EU, varnostno službo pa bodo ponujala tudi vsa tuja podjetja iz Unije."
Romana Špende,Romana Špende
(Bizilj/L. Cjuha,Bisel / L. Cjuha
"Takšno hrvaško stališče zahteva tudi od slovenske strani nov razmislek. Naj najprej priznam, da se mi zdi pametno, da je slovenska zunanja politika doslej vztrajala pri stališču, da je, ne glede na vse, sporazum med Račanom in Drnovškom dobro izhodišče za urejanje mejnih vprašanj. S tem je namreč Ljubljana dala sosednji državi, pa tudi širši mednarodni skupnosti, nedvoumno vedeti, da je Zagreb tisti, ki se ni sposoben pogajati in držati dane besede, s čimer smo si krepili tudi pozicijo pri morebitni arbitraži, saj smo nasprotni strani zniževali mednarodno verodostojnost, ki jo je sama še dodatno načela z enostransko razglasitvijo izključne morske ekonomske cone.","Naj najprej priznam, da se mi zdi modro, da je slovenska zunanja politika doslej vztrajala pri stališču, da je ne glede na vse sporazum med Račanom in Drnovškom dobro izhodišče za ureditev mejnih vprašanj. S tem je Ljubljana sosednji državi, pa tudi širši mednarodni skupnosti, dala nedvoumno idejo, da je Zagreb tisti, ki se ne more pogajati in držati besede, s čimer smo okrepili svoj položaj v morebitni arbitraži, saj smo zmanjšali mednarodno verodostojnost nasprotne strani, ki jo je še dodatno dvignila z enostransko razglasitvijo izključne pomorske ekonomske cone."
"Premier Ivo Sanader za svoj prvi zunanjepolitični obisk ni po naključju izbral Vatikana in desetminutnega pogovora na samem v italijanščini s papežem Janezom Pavlom II. Papež je podprl hrvaško približevanje Evropski uniji. Ivo Sanader nadaljuje zunanjepolitično dejavnost z obiskom v Berlinu, kjer se bo pogovarjal z irskim, turškim in romunskim premierom ter slovenskim in poljskim predsednikom. Iz Berlina se bo odpravil v Bruselj na srečanje s predsednikom Evropske komisije Romanom Prodijem. Obiskal bo še Strasbourg.","Predsednik vlade Ivo Sanader ni pomotoma izbral Vatikana za svoj prvi zunanjepolitični obisk in desetminutni zasebni pogovor v italijanščini s papežem Janezom Pavlom II. Papež je podprl približevanje Hrvaške Evropski uniji. Ivo Sanader nadaljuje svoje zunanjepolitično delovanje z obiskom v Berlinu, kjer se bo pogovarjal z irskim, turškim in romunskim predsednikom vlade ter slovenskim in poljskim predsednikom. Iz Berlina bo odpotoval v Bruselj, kjer se bo srečal s predsednikom Evropske komisije Romanom Prodijem."
Podpisan sporazum o odškodninah,Podpisan sporazum o odškodnini
"Po mnenju strokovnjaka beograjskega inštituta za ekonomske vede Stojana Stamenkovića bi bila koncentracijska vlada nevarna. Če pa bi Koštuničevi demokrati sestavili vlado s Šešljevimi radikalci, bi to pomenilo izgubljeno leto, Srbija pa bi se znašla v sicer neformalni, vendar dovolj učinkoviti osamitvi, je še prepričan Stojan Stamenković. Meni tudi, da niti vlada štirih demokratičnih strank ne bi mogla sprejeti proračuna prej ko v drugi polovici leta, kar bi pomenilo zmanjšanje naložb. K temu velja dodati, da nobena stranka, razen morda demokrati umorjenega srbskega premiera Zorana Djindjića, ki jih zdaj vodi Boris Tadić, in G17 plus, nima izdelanega gospodarskega programa, ki bi Srbijo popeljal v razviti svet.","Po mnenju strokovnjaka Beograjskega inštituta za ekonomske vede Stojana Stamenkovića bi bila koncentracijska vlada nevarna, če pa bi Kostunski demokrati oblikovali vlado s Šešeljevimi radikalci, bi to pomenilo leto izgube, Srbija pa bi se znašla v neformalni, a dovolj učinkoviti izolaciji, je prepričan Stojan Stamenković. Prepričan je tudi, da vlada štirih demokratičnih strank proračuna ne bi mogla sprejeti prej kot v drugi polovici leta, kar bi pomenilo zmanjšanje naložb. K temu je treba dodati, da nobena stranka, razen morda umorjenega srbskega premiera Zorana Djindjića, ki ga zdaj vodi Boris Tadić, in G17 Plus, nima gospodarskega programa, ki bi Srbijo pripeljal v razvoj sveta."
"Vstopila je tudi na druge načine. Podobno kot številni njegovi predhodniki in številni svetovni politiki tudi Bush izkorišča prednosti, ki mu jih daje njegov položaj. Odmevne govore, ki so vedno deležni pozornosti javnosti in medijev, bo tempiral tako, da bo z njimi zasenčil vse drugo dogajanje, predvsem pa predvolilni boj demokratov. Tako bo denimo imel tradicionalni nagovor ljudstvu v torek, 20. januarja, dan po pomembnih uvodnih volitvah demokratskega predsedniškega kandidata v zvezni državi Iowi. Govor o svoji viziji ameriškega vesoljskega programa pa bo imel prihodnji teden, ko bo demokratska predvolilna tekma doživela enega od vrhuncev.","Tako kot mnogi njegovi predhodniki in mnogi svetovni politiki, Bush izkorišča svoj položaj. On bo čas njegove odmevne govore, ki so vedno v središču pozornosti javnosti in medijev, da zasenči vse druge dogodke, in predvsem volilni boj demokratov. Na primer, on bo dal tradicionalni naslov za ljudi v torek, januar 20, dan po pomembnem odprtju volitvah demokratskega predsedniškega kandidata v Iowi. Govoril bo o svoji viziji ameriškega vesoljskega programa naslednji teden, ko bo demokratska volilna tekma doživeli enega od vrhuncev."
"Kljub statistično dokazljivi prednosti, ki jo Bushu ponuja dejstvo, da se za Belo hišo poteguje iz Bele hiše, pa prihodnjih deset mesecev predvolilne bitke napoveduje zelo živahno dogajanje. Javnomnenjske raziskave namreč kažejo, da je Amerika politično razklana skoraj na pol, in to morda še bolj, kot je bila v obdobju po spornih volitvah na Floridi leta 2000. To je tudi dokaz, da Bushu ni uspela vsaj ena velika predvolilna obljuba izpred štirih let, namreč da bo državo združil, ne pa razdelil, čeprav je imel po terorističnih napadih na ZDA za to podarjeno priložnost. Vse to pa tudi napoveduje, da letos ne bomo priče kakšnemu predsednikovemu sprehodu skozi volitve, kakršnega je denimo uprizoril Bill Clinton leta 1996 ali Ronald Reagan leta 1984. Prej kot takšen scenarij se Bushu lahko zgodi njegov lastni oče.","Kljub statistično dokazani prednosti, ki jo Bushu nudi dejstvo, da se za Belo hišo poteguje iz Bele hiše, naslednjih deset mesecev predvolilnega boja napoveduje zelo živahne dogodke. Javnomnenjske raziskave kažejo, da je Amerika politično razdeljena skoraj na polovico, morda celo bolj, kot je bila v obdobju po spornih volitvah na Floridi leta 2000. To je tudi dokaz, da Bush pred štirimi leti ni dal vsaj ene velike predvolilne obljube, in sicer, da bo raje združil državo kot jo razdelil, čeprav je imel takšno priložnost po terorističnih napadih na ZDA. Vse to tudi napoveduje, da letos ne bomo priča nobenemu predsednikovemu sprehodu skozi, kot sta bila Bill Clinton leta 1996 ali Ronald Reagan leta 1984."
"V prvem dopolnilu je zapisano, da zakonito pridobljene zasebne lastnine ni mogoče okrniti. Zasebno lastnino gre po tem določilu obravnavati kot javno. S tem bodo na Kitajskem svojo ustavo uskladili z življenjem. S komunistično ustavo po zmagi revolucije je bila vsa zasebna lastnina nacionalizirana, ljudje so lahko obdržali v svoji lasti le predmete za osebno uporabo, hiše in stanovanja, ne pa tudi zemlje, celo tiste ne, na kateri je stala njihova hiša. Prav tako niso smeli imeti podjetij, delnic in podobnega. Toda medtem se je zgodilo marsikaj, kar je vplivalo tudi na obravnavanje zasebne lastnine. Pred četrt stoletja je prve spremembe v to smer uveljavil takratni kitajski voditelj Deng Xiaoping. Opuščati je začel togo maoistično zasnovo marksizma in začel uvajati kapitalistične posebnosti. Zaživeli so prvi zasebni podjetniki. Dobro so zaslužili in z denarjem so začeli kupovati nepremičnine, ki po veljavni ustavi pravzaprav niso bile povsem njihove, kar je veljalo tudi za njihova podjetja. Uveljavil se je nekakšen dvojni sistem, kar je ustvarjalo hude težave, škodovalo pa je tudi gospodarstvu in gospodarskemu razvoju.","Prva sprememba navaja, da se zakonito pridobljena zasebna lastnina ne more okrniti. Zasebna lastnina se mora obravnavati kot javna lastnina. Ti bodo tako svojo ustavo uskladili z življenjem na Kitajskem. Po komunistični ustavi je bila po zmagi revolucije vsa zasebna lastnina nacionalizirana, ljudje so lahko obdržali le predmete za osebno uporabo, hiše in stanovanja, ne pa tudi zemljišča, na katerem je stala njihova hiša. Prav tako jim ni bilo dovoljeno imeti lastnih podjetij, delnic in podobno. Pred četrt stoletja je takratni kitajski voditelj Deng Xiaoping naredil prve spremembe v tej smeri. Začel je opuščati togo maoistično zasnovo marksizma in začel uvajati kapitalistične posebnosti. Prvi zasebni podjetniki so zaživeli. Naredili so dober dobiček in začeli kupovati nepremičnine, ki v skladu s sedanjo ustavo niso bile njihova lastnina, kar je veljalo tudi za njihova podjetja. Vzpostavljen je bil nekakšen dualni sistem, ki je ustvarjal resne probleme, prav tako pa je škodoval gospodarstvu in gospodarskemu razvoju."
