original,paraphrase
"Inflacija se bo po napovedih morda dvignila še za pol odstotne točke na 7,4 odstotka - Izvoz v nekdanjo Jugoslavijo in Sovjetsko zvezo nad napovedmi","Inflacija naj bi se povečala še za pol odstotne točke na 7,4 odstotka - Izvoz v nekdanjo Jugoslavijo in Sovjetsko zvezo nad napovedmi"
"Po drugi strani pa lahko zavzdihnemo: Končno! Ker se nezadržno bliža invazija povpraševanja po izteku prve nacionalne stanovanjske varčevalne sheme, tovrstna poteza države nima več ne preventivne ne kurativne funkcije, ampak je že kar urgentna. Če bi namreč ostala ponudba tržnih in najemnih stanovanj v naslednjih letih na sedanji ravni (gradbeni cikel pa traja v povprečju tri leta), bi povečano povpraševanje leta 2004 in pozneje dvignilo že zdaj previsoke cene kvadratnega metra v nebo, vsi učinki nacionalnega stanovanjskega varčevanja pa bi bili izničeni. Da o zapravljenem zaupanju ljudstva ne govorimo. Vladajoča koalicija si tovrstne nedejavnosti kratko malo ne more privoščiti.","In končno, ker se vdor v povpraševanje nezadržno približuje po koncu prve nacionalne sheme varčevanja s stanovanji, takšna poteza države nima več niti preventivne niti kurativne funkcije, ampak je že nujna. Če bi ponudba trga in najemnih stanovanj v prihodnjih letih ostala na sedanji ravni (in gradbeni cikel traja v povprečju tri leta), bi bilo povečano povpraševanje v letu 2004 in kasneje že zdaj previsoke cene kvadratnega metra na nebu, vsi učinki nacionalnega stanovanjskega varčevanja pa bi bili izničeni."
Božena Križnik,- Sveti križ
Matjaž Albreht,Matjaž Albreht
Na delu vojašnice bodo postavili šolo,Šola bo zgrajena v skladu z
"Slovenska Bistrica - Minister za obrambo Anton Grizold je včeraj z bistriškim županom Ivanom Žagarjem podpisal pogodbo o prodaji dela vojašnice občini. Na tem zemljišču bodo zgradili srednjo šolo. Grizold je dejal, da je bila prodaja nekaj več kot hektarja zemljišča v središču mesta gesta dobre volje, saj niso z njo zaslužili nič, in je v skladu s strategijo, po kateri se vojska postopoma umika iz mest. Vojska naj bi se iz Slovenske Bistrice dokončno izselila leta 2008, ko bo po optimističnih načrtih končana vojašnica v Apačah, ki bo največja v Sloveniji. Gradnja - v vojašnici bo približno 1500 vojakov - naj bi veljala med 8 in 10 milijardami tolarjev, vanjo pa se bo preselila tudi mariborska vojašnica. Na naše vprašanje, ali bo STO Ravne do leta 2006 uspelo izdelati dovolj oklepnikov valuk, da bodo z njimi opremili 10. in 20. motorizirani bataljon, je Grizold odgovoril pritrdilno in poudaril, da si bodo morali koroški orožarji poiskati strateškega partnerja, najbrž v tujini. O neplačanem računu za poletno dopustovanje njegove družine v objektu MO na Pokljuki pa je dejal, da je šlo za nesporazum in da je račun že poravnal. G. U.","Včeraj, Slovenska Bistrica - Minister za obrambo Anton Grizold je podpisal pogodbo z bistriškim županom Ivanom Žagarjem o prodaji dela vojašnice občini. Na tem zemljišču bo zgrajena srednja šola. Grizold je dejal, da je bila prodaja nekaj več kot hektar zemljišča v središču mesta geste dobre volje, ker z njo niso nič zaslužili, in je v skladu s strategijo, po kateri se vojska postopoma umika iz mest. Gradnja - v vojašnici bo okoli 1500 vojakov - naj bi bila med 8 in 10 milijardami tolarjev, vanjo pa se bo preselila tudi mariborska vojašnica. Na naše vprašanje, ali bo do leta 2006 STB Ravne lahko izdelala dovolj oklepnih Valuk za opremo 10. in 20. motoriziranega bataljona, je Grizold odgovoril pritrdilno, in poudaril, da si bodo koroški oborožitelji morali poiskati strateškega partnerja, verjetno v tujini. O neplačanem računu za poletne počitnice njegove družine v objektu MO na Pokljuki je dejal, da je šlo za nesporazum in da je bil račun že poravnan."
Sindikati javnega sektorja in vlada v prvem krogu pogajanj,Vlada in sindikati v prvem krogu
Okrogla miza o spravnih motnjah,Okrogla miza o spravnih motnjah
"Sociologinja in publicistka Spomenka Hribar knjigo razume kot osebno pričevanje, katere odlika je, da ima kritično distanco do obeh strani, vpletenih v povojna dogajanja, saj je problem sprave predvsem ta, da skuša vsaka stran svojo resnico gnati prek vseh meja.","Sociologinja in publicistka Spomenka Hribar razume knjigo kot osebno pričevanje, ki ima zaslugo za kritično distanco do obeh strani, vpletenih v povojne dogodke, saj je problem sprave predvsem v tem, da skuša vsaka stran svojo resnico pognati čez vse meje."
Majda Vukelić,Lahko noč.
Janez Janša zadovoljen: Zadeli smo bistvo,: Janez Janša zadovoljen Dobili smo točko
Denar zamuja zaradi površnosti kmetov,"Denar zamuja zaradi malomarnosti kmetov """
Marjeta Šoštarič,Marjeta Šoštarič
"Po njegovem je sporen tudi predlog ministrstva za šolstvo, naj bodo učitelji v šoli vsak dan osem ur. »Sviz načeloma ne nasprotuje podaljšanju urnika učiteljev, problem pa je, da šole nimajo primernega prostora za dodatne obveznosti.« Največji očitek ministrstvu za šolstvo pa je, zakaj v mednarodni raziskavi o znanju šolarjev oziroma o njihovi pripravljenosti na življenjske izzive pred leti ni sodelovala tudi Slovenija. Štrukelj na to vprašanje pričakuje odgovor od ministrice za šolstvo, zanima pa ga še, ali so se na šolskem ministrstvu morda zbali morebitnih slabih rezultatov naših šolarjev.","Po njegovem je sporen tudi predlog Ministrstva za šolstvo, da bi učitelji lahko vsak dan v šoli ostali po osem ur. ""Načeloma Sviz podaljševanju urnikov učiteljev ne nasprotuje, problem pa je v tem, da šole nimajo ustreznega prostora za dodatne obveznosti."" Največja pritožba Ministrstvu za šolstvo je, zakaj Slovenija pred nekaj leti ni sodelovala v mednarodni raziskavi o poznavanju šolarjev oziroma njihovi pripravljenosti na soočanje z življenjskimi izzivi. Štrukelj pričakuje odgovor na to vprašanje od ministra za šolstvo in ga zanima, ali šolsko ministrstvo sploh sodeluje v mednarodni raziskavi o znanju šolarjev ali njihovi pripravljenosti na soočanje z življenjskimi izzivi."
Marjeta Šoštarič,Marjeta Šoštarič
V podjetjih se ozirajo na jugovzhod,Podjetja se ozirajo proti jugovzhodu.
"Bled - Precej naših podjetij bo tudi po včlanitvi Slovenije v EU širilo svojo dejavnost predvsem v jugovzhodni Evropi, bi lahko sklepali po včerajšnji predstavitvi razvojnih ciljev nekaterih večjih slovenskih družb na Regionalnem poslovnem stičišču na Bledu, ki je bilo jubilejno, deseto, pripravila pa sta ga Skupina GV in Pharos.","Bled - Številna naša podjetja se bodo po vstopu Slovenije v EU, predvsem v Jugovzhodni Evropi, še naprej širila, bi lahko zaključili po včerajšnji predstavitvi razvojnih ciljev nekaterih večjih slovenskih podjetij na Regionalnem poslovnem stičišču na Bledu, ki je bilo jubilejno, deseto, pripravili pa sta ga GV Group in Pharos."
"Domač trg je premajhen tudi za Petrol in, kot pravi predsednik njegove uprave Janez Lotrič, ugotovili so, da ima družba najboljše možnosti za širitev na jugovzhod. Tako na Hrvaškem in v BiH že imajo podjetji, zdaj pa želijo priti še na jugoslovanski trg. Lotrič je prepričan, da ima njegova firma kakovostno ponudbo in da bo lahko v prihodnjih letih promet podvojila. Temeljna strateška področja prihodnjega Petrolovega razvoja pa naj bi bila: nafta, energetika sploh in varstvo okolja.","Tudi domači trg je za Petrol premajhen in po besedah predsednika uprave, Janeza Lotriča, so ugotovili, da ima podjetje najboljše možnosti za širitev na jugovzhod, saj že imajo podjetja na Hrvaškem in v Bosni in Hercegovini, zdaj pa želijo vstopiti na jugoslovanski trg. Lotrič je prepričan, da ima podjetje kvalitetno ponudbo in da bo v prihodnjih letih lahko podvojilo promet."
"Palestinski muslimani so po petkovi molitvi v tretjem najpomembnejšem svetišču islama protestirali s kamenjanjem vernikov ob Zidu objokovanja. Ta edini ostanek drugega templja, ki so ga Rimljani porušili leta 70, je zbirališče židovskih romarjev.","Po petkovi molitvi so palestinski muslimani protestirali pri tretjem najpomembnejšem svetišču islama, tako da so vernike kamenjali pri Zidu objokovanja, edinem ostanku drugega templja, ki so ga Rimljani porušili leta 70 in je zbirališče judovskih romarjev."
Zdravko Latal,Zdravko latinski
"Pomočnik ameriškega državnega sekretarja James Kelly je v četrtek kot posebni odposlanec predsednika Georgea Busha odpotoval v Pjongjang. Po vsej verjetnosti bodo v dvodnevnih pogovorih glavne teme varnost tega območja, orožje za množično uničevanje in zahteva, da Severna Koreja dovoli mednarodno inšpekcijo jedrskih objektov. To bo prvi stik na visoki ravni med Washingtonom in Pjongjangom po oktobru 2000, ko se je na obisku v tej državi mudila tedanja ameriška državna sekretarka Madeleine Albright.","pomočnik ameriškega državnega sekretarja James Kelly je v četrtek odpotoval v Pjongjang kot posebni odposlanec predsednika Georgea Busha Varnost regije, orožje za množično uničevanje in zahteve, da Severna Koreja dovoli mednarodne inšpekcijske preglede jedrskih objektov, bodo verjetno prvi visoki stiki med Washingtonom in Pjongjangom po oktobru 2000, ko je takratna ameriška državna sekretarka Madeleine Albright obiskala državo."
Vojna proti Iraku je vojna proti Opecu,Vojna proti Iraku je bila vojna proti
"Sadam Husein je nedvomno resna grožnja tako za regionalno kakor tudi za mednarodno stabilnost in ameriška odločitev, da ga onesposobi, je neločljivo povezana z dolgoročno stabilnostjo v Perzijskem zalivu. A zdi se, da se za washingtonsko strategijo skriva nekaj več: povsem mogoče je, da Busheva administracija pod pretvezo napada na Irak poskuša enkrat za vselej onemogočiti Organizacijo izvoznic nafte - Opec. Z ustoličenje demokratičnega režima v Iraku bi Američani ubili dve muhi na en mah.","Sadam Husein nedvomno predstavlja resno grožnjo tako regionalni kot mednarodni stabilnosti in odločitev ZDA, da ga onemogoči, je neločljivo povezana z dolgoročno stabilnostjo v Perzijskem zalivu, vendar se zdi, da washingtonska strategija skriva nekaj več: povsem mogoče je, da Busheva administracija, pod pretvezo napada na Irak, poskuša enkrat za vselej preprečiti Organizacijo družb izvoznic nafte - OPEC."
"Moč Saudske Arabije je upadla tudi znotraj Opeca, saj potrebe saudskega, še vedno nacionaliziranega naftnega sektorja, niso uglašene z zahtevami drugih članic, pri katerih so že začeli privatizacijo. Ta prepad je očiten predvsem pri Angoli in Nigeriji, ki sta pod hudim pritiskom tujih vlagateljev in bosta v bližnji prihodnosti skoraj gotovo prosili za povečanje kvot. Zanju je, podobno kot za mnoge druge članice, povečanje proizvodnje veliko pomembnejše kakor stabilnost cen.","moč Saudove Arabije se je zmanjšala tudi znotraj Opeca, saj potrebe savdskega, še vedno nacionaliziranega naftnega sektorja, niso v skladu z zahtevami drugih držav, ki so že začele s privatizacijo Ta vrzel je še posebej očitna v Angoli in Nigeriji, ki sta pod močnim pritiskom tujih vlagateljev in bosta v bližnji prihodnosti skoraj zagotovo zahtevali povečanje kvot Kot mnoge druge države je povečanje proizvodnje veliko pomembnejše od stabilnosti cen."
