original,paraphrase
"LJUBLJANA Generalni direktor Slovenskih železnic Blaž Miklavčič je z Albertom Hochleitnerjem, generalnim direktorjem Siemensa Avstrija, včeraj podpisal 77,8 milijona evrov vredno pogodbo o dobavi 20 večsistemskih električnih lokomotiv iz družine Euro Sprinter. Lokomotive, ki bodo lahko vozile tudi po progah sosednjih držav in Nemčije, bodo dobavljene med junijem 2006 in januarjem 2008.","Ljubljana Generalni direktor Slovenskih železnic Blaž Miklavčič je včeraj z Albertom Hochleitnerjem, generalnim direktorjem družbe Siemens Austria, podpisal 77,8 milijona evrov vredno pogodbo za dobavo 20 večsistemskih električnih lokomotiv iz družine Euro Sprinter. Lokomotive, ki jih bodo lahko vozili tudi na progah sosednjih držav in Nemčije, bodo dobavili med junijem 2006 in januarjem 2008."
"Neresno bi bilo, če bi dajali izjave na osnovi informacij zgolj ene strani. Ob tem pa je Kos zagotovil, da bodo zadevo vsekakor pozorno spremljali. Milijarde za tehnično pisarno v Posočju","Bilo bi neresno, če bi izjave temeljile na informacijah samo ene strani, vendar je Kos zagotovil, da se bo zadeva zagotovo pozorno spremljala."
"Ob zadnji popotresni obnovi v Posočju je državna tehnična pisarna porabila 15 odstotkov od 21 milijard tolarjev, ki jih je država namenila za popotresno obnovo, torej tri milijarde tolarjev. Vlada je na zadnji predpočitniški seji sprejela tudi nekatere kadrovske poteze: na mesto direktorja Psihiatrične klinike v Ljubljani je imenovala Miroslava Končino, direktorat za energetiko na okoljskem ministrstvu bo naslednjih pet let vodil sedanji državni sekretar Djordje Žebeljan, v Slovenijo pa se predčasno vrača slovenski veleposlanik v Moskvi in nekdanji obrambni minister Franci Demšar.","Med zadnjo popotresno obnovo v Posočju je Državna tehnična pisarna namenila 15 odstotkov od 21 milijard tolarjev, ki jih je država namenila za popotresno obnovo, to je tri milijarde tolarjev. Vlada je na zadnji predpraznični seji sprejela tudi nekaj kadrovskih potez: na mesto direktorja Psihiatrične klinike v Ljubljani je bil imenovan Miroslav Končina, Direktorat za energijo Ministrstva za okolje pa bo naslednjih pet let vodil sedanji državni sekretar Djordje Žebeljan, slovenski veleposlanik v Moskvi in nekdanji minister za"
Vlada ga je imenovala za direktorja republiške agencije za raziskovalno dejavnost.,Vlada ga je imenovala za direktorja republiške raziskovalne agencije.
"Vlada je sprejela tudi poročilo o izvrševanju letošnjega državnega proračuna. To kaže, da uresničevanje proračuna teče povsem po načrtih. Za zdaj vlada meni, da ni treba posegati po nikakršnih dodatnih ukrepih za uravnoteženje proračuna, na primer, da bi bilo treba linearno krčiti proračunske odhodke oziroma se dodatno zadolžiti. Tako tudi še ni jasno, ali bo do konca leta potreben rebalans proračuna. Obstaja pa tveganje, ki lahko vladi pokvari načrte pri upravljanju javnih financ, na primer nižji priliv sredstev od DDV, kot ga je načrtovala, nižji izplen trošarin in evropskih sredstev, ki jih Slovenija do konca julija še ni začela črpati.","Vlada je sprejela tudi poročilo o izvrševanju letošnjega državnega proračuna, iz katerega je razvidno, da izvrševanje proračuna v celoti poteka po načrtih. Za zdaj vlada ne verjame, da bi bilo treba sprejeti kakršne koli dodatne ukrepe za uravnoteženje proračuna, na primer, da bi bilo treba proračunske odhodke linearno zmanjšati ali si dodatno zadolžiti. Tako še ni jasno, ali bo do konca leta potreben dodaten proračun. Obstaja pa nevarnost, da bi vlada lahko pokvarila načrte za upravljanje javnih financ, na primer manjši priliv sredstev iz naslova DDV, kot je bilo načrtovano, izterjava trošarin in evropskih sredstev, ki jih je Slovenija"
Foto: Tomaž Skale/dokumentacija Dnevnika,: Foto Tomaž Skale / dokumentacija Dnevnik
Junijska lista: smo ambasadorji ljudi,Junij: Lista smo ambasadorji ljudi v družbi
"Pritožbeni senat je upošteval nove dokaze, ki jih je predložila generalova obramba. Gre za dokumente iz arhiva Hrvaškega obrambnega zbora, ki obrambi niso bili dostopni do zamenjave oblasti na Hrvaškem pred štirimi leti, listine iz urada hrvaškega predsednika ter dokumente, ki so jih haaški tožilci našli v arhivih bosansko-hercegovske vojske.","Pritožbeni senat je upošteval nove dokaze, ki jih je predstavil generalni obrambni minister: dokumente iz arhiva hrvaškega obrambnega sveta, ki niso bili dostopni za obrambo do spremembe oblasti na Hrvaškem pred štirimi leti, dokumente iz urada hrvaškega predsednika in dokumente, ki so jih našli haaški tožilci v arhivu bosansko-hercegovske vojske."
Andrej Mrevlje,Andrej Mrovlje
LETOS BREZ KRAJE VOLITEV,Leto dni brez volitev
"Predstavnica francoskega zunanjega ministrstva je povedala, da se stališče Francije ni spremenilo navzočnost Nata v Iraku ne pride v poštev, lahko pa zveza ponudi potrebno podporo posameznim državam, ki bi se odločile za izvedbo urjenja iraških enot. Več kot 20 držav je pripravljenih že naslednji teden poslati svoje strokovnjake v Irak, Francija pa takšno odločitev blokira, je dejal neimenovani diplomat pri zvezi Nato. Francija zahteva tudi bolj podrobno pojasnilo o varovanju vojakov, ki bodo izvajali urjenje, ter tudi to, koliko urjenja bo potekalo v Iraku in koliko zunaj njega ter kdo bo poravnal stroške. Pariz nasprotuje tudi načrtom, da bi Natova misija spadala pod operativno poveljstvo koalicijskih sil v Iraku. (cd)","Predstavnik francoskega zunanjega ministrstva je dejal, da se stališče Francije ni spremenilo, da pa Natova prisotnost v Iraku ne pride v poštev, vendar bi zavezništvo lahko ponudilo potrebno podporo posameznim državam, ki bi se odločile za usposabljanje iraških vojakov. Več kot 20 držav je pripravljenih poslati svoje strokovnjake v Irak že prihodnji teden, Francija pa takšno odločitev blokira, je dejal neimenovani diplomat Nata. Francija zahteva tudi podrobnejšo razlago, kako zaščititi vojake, ki bodo izvedli usposabljanje, koliko usposabljanja bo potekalo v Iraku in koliko zunaj njega ter kdo bo plačal stroške. Pariz nasprotuje tudi načrtom, da bi Natova misija spadala pod operativno poveljstvo koalicije."
"Rabin Karol Sidon se ni hotel umakniti, zahteval je, naj mu pojasnijo, zakaj ga hočejo zamenjati, v odgovor pa so mu na kratko zabrusili, da nihče ni nenadomestljiv, da Karol Sidon ni rimski papež, praški judovski verniki pa ne katoliki, da bi morali trpeti verskega poglavarja, h kateremu v sinagogo namesto vernikov prihajajo le turisti. Ob vsem tem rabinu Karlu Sidonu še očitajo, da v svojem majhnem in bogatem kraljestvu ni imel povsem preglednih finančnih knjig.","rabin Karol Sidon se ni hotel umakniti, zahteval je, da mu povedo, zakaj ga želijo nadomestiti, in v odgovor so mu na kratko povedali, da nihče ni nenadomestljiv, da Karol Sidon ni papež Rima, da judovski verniki v Pragi niso katoličani in da bi morali trpeti trpljenje verskega poglavarja, h kateremu so namesto vernikov v sinagogo prišli le turisti."
Darko Štrajn,Darko Štrajn /
"Pogodba SŽ in Siemensa vredna 77,8 milijona evrov","pogodba SŽ in Siemensa vredna 77,8 milijona evrov"
BS ni omenjala številk,BS ni navedel številk
Zaradi obnove kaos v Poljanski dolini,Obnova kaosa v dolini
Dolgo pričakovana obnova ceste se vleče že od aprila in še ne bo kmalu končana,Dolgo pričakovana obnova ceste se vleče že od aprila in ne bo kmalu končana.
Zvezde bodo nastopile v Velenju,Zvezde se bodo prikazale v
"Zanimanje sta izkazali tudi avstrijska nacionalna televizija ORF in nemška ZDF, slednja bo prevzela kar dvakrat po deset ur programa. Glavni organizatorji so VTV, mestna občina in Lions Club International District 129. Milan Kapetan, nekdanji guverner Lionsovega disitricta 129, je povedal, da bodo sporočila o humanitarni akciji poslali na okoli 30.000 različnih naslovov, na posebnem žiro računu pa denar že zbirajo. Gre za največjo tovrstno akcijo v svetu glede na kakovost prireditve in število nastopajočih, zato pričakujemo dober odziv, je dejal Kapetan.","Zanimanje sta pokazali tudi avstrijska nacionalna televizija ORF in nemška ZDF, ki bosta trajali dobrih dveh deset ur programa. Glavni organizatorji so VTV, Mestna občina Ljubljana in Lions Club International District 129. Milan Kapetan, nekdanji guverner Lions ekipe 129, je povedal, da bodo sporočila o humanitarni akciji poslana na okoli 30.000 različnih naslovov, denar pa že zbirajo na posebnem žiro računu. To je največja tovrstna kampanja na svetu, kar se tiče kakovosti dogodka in števila nastopajočih, zato pričakujemo dober odziv,"
"Rajko Djordjevič, motor humanitarne prireditve, je na melodijo Dylanove skladbe Potrkaj na nebeška vrata za prireditev napisal skladbo Poglej v nebo, ki jo bodo skupaj zapeli številni glasbeniki. Foto: Zlatka Strgar","Rajko Djordjevič, motor humanitarne prireditve, je na melodijo Dylanove pesmi Knock on Heaven 's Door napisal pesem Look into the Sky, ki jo bodo peli številni glasbeniki."
"Ogrozili sebe, da bi preprečili katastrofo","Grozite sebi, da boste preprečili katastrofo"
