original,paraphrase
POLOMLJENE ZVEZDNICE,Za zloščene zvezde
RESNIK GRE V UKRAJINO,Resnica gre v Združeno kraljestvo
36,36 točk od
Poškodovane zvezde,Poškodovane zvezde
"Najbolj zanimiv moto, ki ga je slišala: Pot je strma, cilj je lep.","Najbolj zanimiv moto, ki ga je slišala: Pot je strma, cilj je lep."
Kaj ji je na sebi najbolj všeč (vizualno): oči.,Kaj ji je pri sebi najbolj všeč (vizualno: oči.
"In kako je bilo nekoč drugače... Bralci Hopla so še mladi, zato se verjetno ne spominjajo tistih časov, ko je v teh krajih kraljeval le dedek Mraz in ko se je vedelo, kdaj se pojavijo smrečice na tržnicah: tik pred novim letom. Kaj šele, da bi se kje prikazale zvezdice in snežinke ali da bi božič kdo omenjal v radijskih in televizijskih oglasih. V ljubljanski Šiški so imeli nekoč komisarja, ki se je na božično noč vozil po občini in gledal, kje gorijo luči. Kaj je potem počel s takšno statistiko, seveda ni znano, ampak primer kar veliko pove o tem, kako se je nekdaj gledalo na te stvari.","In kako je bilo včasih drugače... Bralci Hopla so še vedno mladi, zato se verjetno ne spominjajo tistih časov, ko je v teh krajih vladal samo dedek Mraz in ko je bilo znano, kdaj so se na tržnicah pojavile smreke: tik pred novim letom. Kaj šele, da bi se nekje pojavile zvezde in snežinke ali da bi se božič pojavil v radijskih in televizijskih oglasih. V Šiški so nekoč imeli komisarja v Ljubljani, ki se je na božično noč peljal po občini in gledal, kje gorijo luči. Kaj je s takšno statistiko, seveda, ni znano, vendar primer pove veliko o tem, kako so te stvari gledale."
"Boštjan Dermol: Glede na 'tradicionalno' zamujanje pri vseh stvareh, je treba na to gledati predvsem pragmatično in podpiram zagnanost vseh oglaševalcev. Sledijo pač načelu: Bolje prej kot nikoli ali prepozno. Res pa je, da zgodnje okraševanje zbudi v ljudeh občutek, da se nekaj dogaja, še preden se zares zgodi.",": Boštjan Dermol Glede na ""tradicionalno"" odlašanje v vseh stvareh, je treba to videti predvsem pragmatično in podpiram navdušenje vseh oglaševalcev, ki sledijo načelu: Bolje prej kot nikoli ali prepozno. Je pa res, da zgodnja okrasitev pri ljudeh prebudi občutek, da se nekaj dogaja, preden se zares zgodi."
"Slavko Ivančić: Všeč mi je. V Nemčiji je že vse okrašeno, postavljene so stojnice, ljudje že veselo nakupujejo... Vse skupaj predstavlja prav posebno vzdušje in popestritev. Luštno je. Tako da me prav nič ne moti, ko pridem v Ljubljano in je okrašena. To ji da še poseben čar. Pri nas, na Obali, smo glede tega prav ubogi, vse se pripravi v zadnjem trenutku.",": Slavko Ivančić Všeč mi je. V Nemčiji je vse že okrašeno, na stojnicah so stojnice, ljudje že z veseljem nakupujejo... Vse to je zelo posebno vzdušje in začinimo. Luštno je. Zato me ne moti, ko pridem v Ljubljano in je okrašena. To ji daje poseben čar. Pri nas, na obali, imamo prav glede tega, revni ljudje vse pripravijo v zadnji minuti."
"Vremenski pripovedovalci na Pop TV so iznašli novo modo. Vsi po vrsti namreč mahajo mimo karte in nam pripovedujejo: Zjutraj boste v Ljubljani namerili osem stopinj, pri vas na obali pa jih boste namerili deset...","Vremenski pripovedovalci na Pop TV so si izmislili novo modo, saj vsi mahajo mimo zemljevida in nam pravijo: Zjutraj boste v Ljubljani merili osem stopinj, v vašem primeru pa na obalo boste merili deset..."
"Eh, ti vremenarji. Vsi bi bili radi filozofi, pesniki ali vicmaherji. Pa naj malo menjajo: nekaj časa naj vremenčki poročajo iz parlamenta, notranjepolitični novinarji ta čas merijo temperature, potem se lahko pa spet malo premešajo.","Vsi želijo biti filozofi, pesniki, ali vicemar. Naj se malo spremenijo: naj vremensko poročilo iz parlamenta za nekaj časa, notranji politični novinarji merijo temperature v tem času, potem pa se lahko spet malo premešajo."
"V javnosti so se pojavile govorice, da naj bi se vez med Kylie Minogue in Olivierjem Martinezom skrhala. Vendar je zadevo uredil njun predstavnik za javnost, ki je zagotovil, da je par še vedno zaljubljen in da oba komaj čakata, da končata svoje delovne obveznosti ter si vzameta nekaj tednov za počitek. Kje, pa za zdaj ostaja skrivnost. Olivier je namreč nekaj tednov v Los Angelesu snemal oglas za kolekcijo oblačil, Kylie pa je na drugem koncu države promovirala svoj zadnji album.","Govorice so se pojavile, da se bo vez med Kylie Minogue in Martinezom poslabšala, vendar je tiskovni predstavnik zadevo uredil in zagotovil, da je par še vedno zaljubljen in da si oba želita končati svoje delo in si vzeti nekaj tednov počitka. Kje pa za zdaj ostaja skrivnost. Olivier je nekaj tednov v Los Angelesu snemal oglas za zbirko oblačil, medtem ko je Kylie promovirala svoj najnovejši album na drugi strani države."
Izkoristila je lento,Uporabljala je Lent
"Iva Štefanič, lanska najlepša soseda, je svojo lento dobro izkoristila. Bila sem med finalistkami na izboru miss Hit Casinoja, posnela sem nekaj oglasov, nastopila na številnih modnih revijah, veliko pa delam tudi kot hostesa, je ob slovesu naziva najlepše sosede povedala Iva. Štefaničeva, ki ima za sabo kar nekaj uspešnih kilometrov na modnih stezah, je prepričana, da bo tudi Blanka (skupaj sta na sliki) lento znala izkoristiti. Glede na to, kako se je občinstvu v dvorani predstavila, in glede na njeno samozavestno držo je očitno, da bo prodrla v modni svet, je povedala Iva. Iva ob razglasitvi še ni imela vozniškega izpita, avto, ki ga je dobila v uporabo za leto dni, pa jo je spodbudil, da je izpit opravila v nekaj mesecih.HOLLYWOODSKA VROČA SOSESKA","Bila sem med finalistkami izbora Miss Hit Casino, posnela sem nekaj fotografij, nastopila sem tudi na številnih modnih revijah, poleg tega pa delam tudi kot hostesa, je povedala Iva ob izreku o nazivu najlepše sosede. Štefaničeva, ki ima za seboj kar nekaj uspešnih kilometrov na modnih poteh, je prepričana, da jo bo Blanka (ki sta skupaj na sliki) izkoristila. Glede na to, kako se je predstavila občinstvu v dvorani, in glede na svojo samozavestno držo, je očitno, da bo prodrla v modni svet, je povedala Iva Iva."
"Igralka, ki jo poznamo predvsem s TV-zaslonov, iz humoristične nanizanke Vsi imajo radi Raymonda, živi v hiši s petimi spalnicami, ki lahko pokaže dva obraza (na sliki zgoraj in spodaj). Klasično lepa hiša bi bila lahko videti kot trdnjava, če je ne bi obdajal bujen vrt, ki zmehča njene nekoliko trše poteze.","Igralka, znana predvsem s televizijskih zaslonov, iz humoristične serije Vsakdo ljubi Raymonda, živi v hiši s petimi spalnicami, ki lahko pokaže dva obraza (na fotografiji zgoraj in spodaj). Klasično lepa hiša bi lahko izgledala kot trdnjava, če ne bi bila obdana z bujnim vrtom, ki mehča njene nekoliko težje poteze."
