original,paraphrase
"V času prve Jugoslavije so z vodami na območju Kranja gospodarili premožni zakupniki, kot sta bila Mayer in Majdič. Po drugi svetovni vojni - leta 1946 - je Ministrstvo za kmetijstvo vse gorenjske vode razdelilo na 15 revirjev. Na ozemlju zdajšnje RD Kranj so bili trije. Revir številka 13 je obsegal Kokro od izvira do Britofa pri Kranju, z njim pa so gospodarili jezerski župnik Volk, Jocif in drugi. Revir 14 je bil nadaljevanje Kokre od Britofa do izliva v Savo, z njim pa so upravljali Šimunac, Adamič, Šiling in še nekateri. Revir 15 je vključeval Savo med Kranjem in Medvodami, poleg drugih pa sta z njim upravljala Mayer in Horvat. Lovili pa so na vse vrste vab, brez omejitve uplena. Prepovedan je bil le lov z mrežo, že takrat pa so upoštevali lovopust in najmanjše mere.","V času prve Jugoslavije so z vodami na območju Kranja upravljali premožni najemniki, kot sta Mayer in Majdič. Po drugi svetovni vojni - leta 1946 - je Ministrstvo za kmetijstvo razdelilo vso Gorenjsko na 15 okrožij. Na območju današnje RD Kranj so bili trije. Okrožna številka 13 je vključevala Kokro od izvira do Britofa pri Kranju, upravljali so ga župnik Volk, Jocif in drugi. Okrožje številka 14 je bilo nadaljevanje Kokre od Britofa do izliva v Savo, okrožje pa je upravljal Šimunac Nebranič Šiling in še nekateri drugi. Okrožje številka 15 je obsegalo Savo med Kranjem in Medvodi, ostale pa sta vodila Mayer in Lovat."
"Z izgradnjo HE Mavčiče v osemdesetih je ribiška družina izgubila čudovit salmonidni del Save, vključno s kanjonom Zarico. To je bil po dograditvi HE Zbilje Medvode, v začetku petdesetih, že drug močan poseg v reko. Iz čudovite salmonidne vode je nastala pretežno ciprinidna, v kateri prevladujejo kleni, podusti, rdečeperke, krapi in ščuke. Še vedno je živ tudi spomin na dve hudi katastrofi, ko je bil v letih 1964 in 1974 ob izpustu akumulacije HE Moste Žirovnica pomorjen celoten ribji živelj v Savi.","Po izgradnji HE Zbilje Medvode v začetku 50. let prejšnjega stoletja je ribiška družina izgubila čudovit salmonidni del reke Save, vključno s kanjonom Zarice. To je bil drugi večji poseg v reko po izgradnji HE Zbilje Medvode v začetku 50. let prejšnjega stoletja. Zaradi čudovite salmonidne vode je nastala ciprinida, v kateri prevladujejo klen, podust, redkev, krap in ščuka. Spomin na dve večji nesreči v letih 1964 in 1974, ko je bila celotna ribja populacija v reki Savi pobita z izpustom HE Moste"
Luka Dakskobler,Luka Dakskobler
"Mlade ribiče, njihove mentorje, spremljevalce in starše so v Sveti Trojici pozdravili lenarški podžupan Franc Krivec, podpredsednik Ribiške zveze Slovenije Štefan Hari in predsednik komisije Alpe-Jadran pri RZ Slovenije Jože Hartman. V imenu organizatorjev se je vsem udeležencem zahvalil predsednik lenarške RD Pesnica Srečko Lipovnik in izrazil željo, da bi bila prihodnje leto na jubilejnem, 10. tekmovanju v Sveti Trojici udeležba mladih ribičev še številčnejša. Posebej se je zahvalil gostom iz sosednje Madžarske, ki so bili nad tekmovanjem navdušeni. Nekaterim sponzorjem in organizacijam je podelil posebna pisna priznanja RD Pesnica. Prireditev je znova imenitno uspela in je pripomogla k turistični promociji Slovenskih goric ter promociji slovenskega sladkovodnega ribištva. ","Mlade ribiče, njihove mentorje, spremljevalce in starše sta v Sveti Trojici sprejela podžupan občine Lenarčič, Franc Krivec, podpredsednik Ribiške zveze Slovenije Štefan Hari, in Jože Hartman, predsednik Alpsko-jadranske komisije pri Slovenskem raziskovalnem centru Jože Hartman. V imenu organizatorjev se je predsednik RD Lendava Pesnica Srečko Lipovnik zahvalil vsem udeležencem in izrazil željo, da bi bilo prihodnje leto na deseti izvedbi tekmovanja v Sveti Trojici še več mladih ribičev. Posebej se je zahvalil gostom iz sosednje Madžarske, ki so bili nad tekmovanjem navdušeni."
Marjan TOŠ,Marjan Toš Ljubljana
"- VETERINARSKA FAKULTETA LJUBLJANA, Gerbičeva ulica 60, 1000 Ljubljana, tel.: 01 / 47-79-145 (mag. Vlasta Jenčič) opravljajo le mikrobiološke preglede vode;","- VETERINARNA FAKULTETA LJUBLJANA, Gerbičeva ulica 60, 1000 Ljubljana, tel.: 01 / 47-79-145 (Mag. Vlasta Jenčič) opravljajo le mikrobiološke preglede voda."
"- ZAVOD ZA ZDRAVSTVENO VARSTVO CELJE, Ipavčeva ulica 18, 3000 Celje, tel.: 03 / 42-51-100 (dipl. biolog Andrej Uršič mob. tel.: 041 / 632-998);","- INSTITUCIJA ZA ZDRAVSTVO, Ipavčeva ulica 18, 3000 Celje, tel.: 03 / 42-51-100 (biolog Andrej Uršič mob. tel.: 041 / 632-998)"
"- ZAVOD ZA ZDRAVSTVENO VARSTVO NOVA GORICA, Kostanjeviška cesta 16/a, 5000 Nova Gorica, tel.: 05 / 33-08-606 ali 05 / 33-08-600 (dipl. inž. Mirjam Hojak);","- INSTITUCIJA ZA ZDRAVSTVO NOVA GORICA, Kostanjeviška cesta 16 / a, 5000 Nova Gorica, tel.: 05 / 33-08-606 ali 05 / 33-08-600 (dipl."
"V Tolminki se drst prične v začetku novembra in traja do srede decembra, pri čemer doseže svoj višek sočasno z drstjo v Soči.","V Tolminki se drstenje prične v začetku novembra in traja do sredine decembra, svoj vrh pa doseže v istem času kot drstenje v reki Soči."
"Vsi drstni vzorci se ponavljajo iz leta v leto in spraševali smo se, kateri dejavniki vplivajo nanje. ","Vsi vzorci drstenja se ponavljajo iz leta v leto in spraševali smo se, kateri dejavniki vplivajo nanje."
"Znotraj obdobij drsti so posamezni vrhunci povezani še z nekaterimi pomembnimi dejavniki. Določen vpliv imajo Lunine mene. Na drstiščih je več aktivnosti opaziti v času mlaja, še zlasti takoj po njem. Pomembne so tudi spremembe pretokov vode. Vsako povečanje pretokov povzroči povečano prisotnost postrvi na drstiščih, saj je zaradi višje vode pot do njih lažja.","V času drstenja so posamezni vrhovi povezani tudi z nekaterimi pomembnimi dejavniki. Lunine mene imajo določen vpliv. Več aktivnosti je opaziti v drstiščih, še posebej takoj po mlaju. Pomembne so tudi spremembe v pretoku vode. Vsako povečanje pretoka vode povzroči večjo prisotnost postrvi v drstiščih, saj višja voda olajša pot do njih."
»Vanganelska mornarica« na delu (foto: S. Merkandel),"""Vanganel Navy"" pri delu (foto: S. Merkandel)"
PREHODNI POKAL ZRD PRIMORSKE V LOVU RIB Z UMETNO MUHO,Prejšnja objavaPrejšnji Ribolov na letenje z umetno muho
"revir A: Bojan Štefančič, Bogomir Furlan in Dejan Černilogar;","okraj A: Bojan Štefančič, Bogomir Furlan in Dejan Černilogar;"
"V ekipnem tekmovanju je prvo mesto in prehodni pokal osvojila ekipa TE Radenci (grega Prelog, Kristjan Jaušovec, Denis Koren), drugo ekipa TE Videm, tretje pa sta si delili ekipi TE Radgona in Tišina V posamezni konkurenci je prvo mesto zasedel Grega Prelog (TE Radenci), drugo mesto Rok Lovrenc (TE Videm) in tretje mesto deklica Tami Vreča (TE Gornja Radgona). Najmlajša udeleženka Anja Mešiček je štela komaj tri leta, sicer pa je bilo tekmovanje namenjeno mladim ribičem, starim do 14 let.","V ekipnem tekmovanju je prvo mesto in prehodni pokal osvojila ekipa TE Radenci (Grega Prelog, Kristjan Jaušovec, Denis Koren, druga ekipa TE Videm, tretjo pa ekipi TE Radgona in Tišina Na vsakem tekmovanju je prvo mesto zasedel Grega Prelog (TE Radenci), drugo mesto Rok Lovrenc (TE Videm) in tretje Tami Vreča (TE Gornja Radgona), najmlajša udeleženka pa je bila stara komaj tri leta, sicer pa je bilo tekmovanje namenjeno mladim ribičem do 14 let."
B sektor: Rudi Potočnik (RD Bistrica),B sektor: Rudi Potočnik (RD) Bistrica
MARIBOR,-Maribor
Ribič/11-2000/Družinska tekmovanja,Ribič / 11-2000 / Družinska tekmovanja
"Ekipno vodi RD Medvode z 98 točkami, druga je ekipa Bled 1 s 97 točkami, tretji pa Klub koroških ribičev s 70 točkami.","Ekipo vodi RD Medvode z 98 točkami, druga je ekipa Bled 1 s 97 točkami, tretja pa je Koroški ribiški klub s 70 točkami."
Luka Dakskobler,Luka Dakskobler
Veselje zmagovalne ekipe državnega prvenstva ekipa Bled 1,Veselje ob zmagi ekipe za državno prvenstvo Bled 1
DRŽAVNO PRVENSTVO V PODVODNEM RIBOLOVU,Državno prvenstvo v podvodnih ribah
"V predzadnjem tednu letošnjega julija, ko je Bled dobesedno vrel od vsakovrstnih prireditev, so na streljaj oddaljenem poligonu za kasting, po mnenju tujih tekmovalcev med najlepšimi v Evropi, potekale priprave in treningi za 5. evropski pokal v kastingu. Bled je ponudil gostoljubje reprezentancam Avstrije, Nemčije, Švedske, Bolgarije, Norveške, Italije, Slovaške in Slovenije, skupaj 110 reprezentantom in njihovim spremljevalcem. V soboto, 22. julija, so najboljše evropske tekmovalce pozdravili in jim zaželeli čim boljše uspehe vodja organizacijskega komiteja Zdravko Štibil, predsednik RD Bled Franc Krmelj in kot častni gost Stanislav Bradeško, podpredsednik RZS.","V predzadnjem tednu letošnjega julija, ko je Bled dobesedno vrel iz vseh mogočih dogodkov, so na oddaljenem livarniškem poligonu potekale priprave in treningi za 5. evropski pokal v kastingu, po mnenju tujih tekmovalcev med najlepšimi v Evropi. Bled je ponudil gostoljubje ekipam Avstrije, Nemčije, Švedske, Bolgarije, Italije, Slovaške in Slovenije, skupaj 110 reprezentancam in njihovim spremljevalcem. V soboto, 22. julija, so najboljše evropske tekmovalce pričakali in jim zaželeli čim boljši uspeh tudi vodja organizacijskega odbora Zdravko Štibil, predsednik RD Bled Franc Krmelj in častni gost Bradeško, podpredsednik RZS."
Med članicami je zmagala Alena Zinner (Avstrija 4) pred Magdaleno Gankovo (Bolgarija 4) in Lise Lotte Janson (Švedska). Med ekipami članic je zmagala ekipa Bolgarija 4 pred Avstrijo 4 in Slovenijo 3.,Zmagala je Alena Zinner (Avstrija 4) pred Magdaleno Gankovo (Bolgarija 4) in Lise Lotte Janson (Švedska). Zmagala je ekipa Bolgarija 4 pred Avstrijo 4 in Slovenijo 3
