original,paraphrase
"Pravijo, da je prvemu otroku v družini vselej laže in postlano z rožicami. Toda za renault espace tega ne moremo trditi. Čeprav je leta 1984 zaoral ledino v razredu, ki so ga kasneje poimenovali kar razred enoprostorcev, pa se je moral ves čas dokazovati. Tekmeci so namreč drug za drugim stopali v ta razred in skušali narediti izdelek, ki bi prekosil espaca.","Pravijo, da prvi otrok v družini vedno leži in je narejen s cvetjem, vendar tega ni mogoče reči za renault espace. Čeprav je leta 1984 v razredu, ki se je kasneje imenoval razred minivanov, se je moral ves čas dokazovati."
MATEJ ŠTAKUL,Mati v šoli
"Z octavio combi so pri Škodi vsekakor naredili dobro potezo, ne samo zato, ker so ustregli tistim, ki radi z avtomobilom prevažajo gorska kolesa, jadralne deske in podobno opremo, ampak tudi zato, da so zaprli usta še zadnjim dvomljivcem, ki so si zapomnili, da je ta češka tovarna nekoč sodila v drugi čas in drugo okolje. Od vsega, kar so naredili, namreč niso mogli popraviti oziroma spremeniti samo svojega imena, kajti za skoraj vsemi pozitivnimi premiki stoji veliki brat, koncern Volkswagen.","Z octavio combi je Škoda zagotovo naredila dobro potezo, ne samo zato, ker so služili tistim, ki radi prevažajo gorska kolesa, jadralne deske in podobno opremo z avtomobilom, ampak tudi zato, ker so zaprli usta zadnjim skeptikom, ki so se spomnili, da je ta češka tovarna nekoč pripadala drugemu času in drugemu okolju. Od vseh, ki so jih naredili, niso mogli popraviti ali spremeniti svojega imena, ker je za skoraj vsemi pozitivnimi potezami veliki brat, skupina Volkswagen."
"Motorno najmočnejša octavia combi ima vgrajen 1,8-litrski štirivaljnik z 20 ventili in turbinskim polnilnikom. Konstrukcijsko je to sodoben motor in njegovih 150 konjskih moči zagotavlja octaviji combi zelo dobre vozne lastnosti. Sam po sebi je motor izpeljanka običajnega atmosferskega štirivaljnika, toda v vseh pogledih, od izdatnejših zmogljivosti do občutno manjšega hrupa in omembe vredne nižje porabe, je krepko boljši. Zelo lepo se odziva na voznikove ukaze na stopalki za plin, zato tudi skoraj ni čutiti turbo luknje in v pretežnem delu vrtljajev je enako dobro odziven. Octavia z njim pridobi tudi športni prizvok, saj je najvišja hitrost 216 kilometrov na uro, za svoje delo pa v povprečju zahteva, seveda odvisno od priganjanja, od 9 do 10 litrov bencina na 100 kilometrov.","Najmočnejši motor na motorni pogon octavia combi ima 1,8-litrski štirivaljni motor z 20 ventili in turbopolnilnikom. To je sodoben motor in njegova 150 konjskih moči daje octavia combi zelo dobre zmogljivosti. Sama po sebi je derivat običajnega štirivaljnega motorja, vendar v vseh pogledih, od povečane zmogljivosti do bistveno manj hrupa in bistveno nižje porabe, je veliko bolje odziva. Zelo dobro se odziva na voznikove ukaze na pedalu za plin, tako da skoraj ne čuti turbo luknje in je enako odziven pri večini vrtljajev. Octavia pridobi tudi športni prizvok, saj ima največjo hitrost 216 kilometrov na uro, in za svoje delo, v povprečju, zahteva, odvisno od pogona med 10 in 100 litri na 100 kilometrov."
teža praznega vozila/skupna dovoljena v kg 1355/1815,masa praznega vozila / skupna dovoljena v kg 1355 / 1815
največji navor v Nm pri vrtlj. v min. 210 pri 1750,največji navor v Nm pri 210 vrtljajih na minuto pri 1750
navor Nm pri v/min 235 pri 3750 184 pri 4600,navor pri v / min 235 Nm pri 3750 184 pri 4600
Delavci rudnika bodo zazelenili največja odlagališča ilovice ob vhodih v jamo,Rudarski delavci bodo pozelenili največja odlagališča gline pri vhodih v jamo
JESENICE - Na letošnjem dobrodelnem mednarodnem turnirju v golfu na Bledu so se člani Lions clubs International Bled odločili za zbiranje denarja v človekoljubne namene.,"Jesenice - Na letošnjem dobrodelnem mednarodnem golf turnirju na Bledu so se člani Lions klubov International Bled odločili, da zberejo denar za humanitarne namene."
"Novo tehnologijo obdelave odpadkov so razvili v švicarskem podjetju ORFA Engineering. Prednost takšnega obdelovanja je v nadaljnji uporabi surovin iz odpadkov pa tudi v tem, da neuporabnih ali škodljivih snovi ni. Kot je poudaril švicarski strokovnjak Joseph Pret, so odpadki surovine, ki so temelj proizvodnje novih izdelkov. Sistem ORFA je mehanski postopek za sortiranje, obdelavo in fino ločevanje odpadkov, katerega rezultat so ločene, ponovno uporabne in neškodljive sekundarne surovine iz kovin in nekovin, organskih vlaken, plastike in mineralov. Te uporabljajo na različne načine. V Švici, na primer, kovine ponovno talijo, minerale uporabljajo pri gradnji cest oziroma v gradbeništvu, plastiko za reciklažo, ponovno proizvodnjo ali kot redukcijski material v visokih pečeh, vodo iz procesa uparjanja uporabijo za vlaženje biofiltrov pri čiščenju zraka v postopku delovanja naprave. Organska vlakna je mogoče uporabiti na več načinov, kot dodatek ali kot surovino za proizvodnjo gradbenih in invernih plošč, za pripravo gnojil, uporabo v živinoreji, pri vezavi olj, za izdelavo industrijskih goriv v obliki granulata, briketov ali blokov.","Švicarsko podjetje ORFA Engineering je razvilo novo tehnologijo obdelave odpadkov. Prednost te obdelave je v tem, da se surovine še naprej uporabljajo iz odpadkov in da ni neuporabnih ali škodljivih snovi. Kot je poudaril švicarski strokovnjak Joseph Pret, so odpadki surovine, ki so osnova za proizvodnjo novih izdelkov. ORFA je mehanski postopek za sortiranje, predelavo in fino ločevanje odpadkov, ki ima za posledico ločene, ponovno uporabne in sekundarne neškodljive surovine iz kovin in nekovin, organskih vlaken, plastike in mineralov. V Švici se na primer kovine pretaljujejo, minerali se uporabljajo pri gradnji cest ali v gradbeništvu, plastika se uporablja za recikliranje, ponovno proizvodnjo ali kot redukcijski material v visokih pečeh, voda iz postopka izhlapevanja se uporablja za vlaženje biofiltrov za čiščenje zraka v procesu obratovanja obrata. Organska vlakna se lahko uporabljajo na več načinov, kot dodatek ali kot surovina za proizvodnjo gradbenih plošč in inverzij, za pripravo gnojil, za uporabo v živinoreji, za vezavo olja, za proizvodnjo industrijskih goriv v obliki granul, briketov ali blokov."
