original,paraphrase
"Izpolnjeno anketo pošljite kar na Upravo RS za pospeševanje kmetijstva (anketa Kmetovalec), Parmova 33, 1000 Ljubljana","Izpolnjeno anketo pošljite na Upravo Republike Slovenije za promocijo kmetijstva, Parmova 33, 1000 Ljubljana Prijava na UGM Novičnik."
Poklic:,:: Poklic
1. Kdo je izdajatelj Kmetovalca?,(1) Kdo je izdajatelj kmetijskega zemljišča?
11-20 ha,11-20 ha
govedoreja,reja goveda
poljedelstvo,"kmetijsko kmetijstvo,"
drugi,"Drugo, drugo"
9. Kdo od družinskih članov revijo redno bere?,(9) Kdo med družinskimi člani redno prebira revijo?
hči,Hči se je
dedek,dedek je.
babica,- babica
reportaže,poročila o
12. Katere vsebine so po vašem mnenju preobsežne (izberite tri)?,12. Katera vsebina se vam zdi preobsežna (izberite tri)?
reportaže,poročila o
živinoreja,"živinoreja, reja"
sadjarsvo vinogradništvo vinarstvo,vinogradništvo in vinogradništvo
obvestila,obvestila
