original,paraphrase
Letošnje poletje bo mestna občina obnovila skoraj štirideset otroških igrišč,To poletje bo občina obnovila skoraj štirideset otroških igrišč
"Glede na zapisano se ne gre čuditi, da MOL močno računa na predlog sprememb zakona o lokalni samoupravi, ki v državnem zboru čakajo na sprejem. Anton Kokalj pa je včeraj predstavil pobudo o sprožitvi arbitražnega postopka za delitev premoženja nekdanje skupne občine. ""Če v roku petnajstih dni vsi ne bodo imenovali arbitrov, bomo v skladu z zakonom stvar prepustili sodišču, ki mora imenovati manjkajoče arbitre,"" je še poudaril Anton Kokalj. (pk, sr)","Glede na navedeno ni presenetljivo, da Mestna občina Ljubljana močno računa na predlog sprememb Zakona o lokalni samoupravi, ki čaka na sprejetje v Državnem zboru. Včeraj je Anton Kokalj predstavil pobudo za začetek arbitražnega postopka za delitev premoženja nekdanje skupne občine. ""Če ne bodo imenovani vsi arbitri v petnajstih dneh, bomo zadevo po zakonu prepustili sodišču, ki mora imenovati manjkajoče arbitre "", je poudaril Anton Kok."""
Jeseni zapora Zaloške,Jesenski zaporniški zapor
"pregledov so opravili zdravniki v urgentnem bloku Kliničnega centra. Poleg 63 malih operativnih posegov so izvedli eno presaditev jeter. Nadeli so 83 mavčnih oblog in naravnali 10 okončin. Na kliniko so sprejeli 43 ljudi. Pomoč je potrebovalo 14 predšolskih otrok, poškodovalo se je 16 kolesarjev in motoristov ter štirje rolarji. Zdravniki so pomagali tudi 26 ljudem, poškodovanim v prometnih nezgodah. En človek je poskusil narediti samomor.","Poleg 63 malih kirurških posegov so opravili eno presaditev jeter, namestili so 83 mavčnih odlitkov in prilagodili 10 udov. Na kliniko so sprejeli 43 ljudi. 14 predšolskih otrok je potrebovalo pomoč, 16 kolesarjev in motoristov ter štiri kotalke so se poškodovali. Zdravniki so pomagali tudi 26 ljudem, ki so se poškodovali v prometnih nesrečah."
Izkoristiti je treba naravo,Naravo je potrebno negovati
"Direkcija RS za ceste (DRSC) se je rekonstrukcije križišča pri Kalcah, kjer se na poti proti Ljubljani združita cesti iz Postojne in Idrije, lotila leta 1996. ""Prvi del rekonstrukcije je bil že končan, ko se je nekaj okoliških prebivalcev pritožilo, zato so morali dela ustaviti,"" pravi župan občine Logatec Janez Nagode. Kalčani so se pritožili zato, ker bi namesto z neposrednega dovoza na cesto morali do nje peljati po daljši poti, mimo hiš v soseščini. Zlobni jeziki natolcujejo, da je ta odločitev padla zato, da bi gostilna, ki jo menda urejajo v eni od bližnjih hiš, imela več gostov. Župan te govorice zavrača in pravi, da je sprememba uvoza na cesto strokovno utemeljena. ""Pritožili smo se tudi zato, ker smo menili, da bo križišče po preureditvi postalo nepregledno. Kar se je tudi zgodilo. Pri načrtih za ureditev bi morali sodelovati strokovnjaki,"" pravijo Kalčani, ki živijo v bližini križišča.","Direkcija Republike Slovenije za ceste (DRSC) je pričela z obnovo križišča v Kalcah, kjer sta se na poti v Ljubljano leta 1996 priključili cesti Postojna in Idrija. ""Prvi del obnove je bil že končan, ko so se pritožili nekateri okoliški prebivalci, zato je bilo treba dela ustaviti,"" pravi župan občine Logatec Janez Nagode. Kalčani so se pritoževali, ker bi se morali namesto neposrednega dovoza na cesto voziti po daljši poti, mimo hiš v soseščini. Zlobni jeziki potem pravijo, da je bila ta odločitev sprejeta zato, da bi gostilna, ki jo urejajo v eni od bližnjih hiš, imela več gostov. Župan, in pravi, da je sprememba pri načrtovanju ceste domnevno upravičena. ""Prav tako se pritožujemo, ker živimo v križišču, ki je v bližini križišča""."
"Najboljši odziv so zabeležili v upravni enoti Celje, kjer je na anketo odgovorilo dve tretjini enot, v katerih je zaposlenih 87 odstotkov vseh zaposlenih. Zelo visok odziv je bil tudi v UO Laško, več kot polovičen odziv pa v UO Slovenske Konjice. Ocene kažejo, da se število delavcev v regiji ob koncu letošnjega leta ne bo bistveno spremenilo, hkrati pa predvidevajo v povprečju za 2,2 odstotka manjšo zaposlenost. Do konca leta se bo po napovedih povečala v treh upravnih enotah (Celje, Slovenske Konjice in Šentjur), zmanjšala pa v UP Šmarje in Žalec.","Najboljši odziv je bil zabeležen v Upravni enoti Celje, kjer sta se na anketo odzvali dve tretjini enot s 87% vseh zaposlenih. Zelo visok odziv so zabeležili tudi v Upravni enoti Laško, več kot polovico pa v Upravni enoti Slovenske Konjice. Ocene kažejo, da se število delavcev v regiji ob koncu letošnjega leta ne bo bistveno spremenilo, hkrati pa pričakujejo, da se bo zaposlenost v povprečju zmanjšala za 2,2%. Do konca leta naj bi se povečala v treh upravnih enotah (Celje, Slovenske Konjice in Šentjur), zmanjšala pa v zgornjih upravnih enotah Šmar"
"Izobrazbena struktura predvidenih novih zaposlitev (teh naj bi bilo po napovedih več kot 1250) je podobna kot v minulih letih. Največ delovnih mest naj bi bilo za ljudi s III. oziroma IV. stopnjo izobrazbe, 15 odstotkov pa tudi za ljudi s VII. stopnjo izobrazbe. Delodajalci so v anketi navedli tudi poklice, kjer zelo težko najdejo potreben kader. Med njimi je veliko povpraševanje tudi po profesorskih poklicih, saj pristojni opažajo pomanjkanje profesorskega kadra za učenje jezikov in naravoslovja.","Izobraževalna struktura predvidenih novih delovnih mest (pričakovano je, da bo več kot 1250) je podobna kot v preteklih letih. Večina delovnih mest se pričakuje, da bo za ljudi s III. ali IV. stopnjo izobrazbe, in 15 odstotkov za ljudi s VII. Delodajalci navedla tudi poklice, kjer je zelo težko najti potrebnega osebja. med njimi, obstaja veliko povpraševanje po profesorskih mest, kot pristojni organi ugotavljajo pomanjkanje profesorskih mest za učenje jezikov in znanosti."
V TE Šoštanj je bila včeraj druga seja UO Združenja za energetiko GZS,V Šoštanju je bila včeraj že druga seja Energetske zveze GZS.
Večje tveganje in odgovornost,Večje tveganje in odgovornost
"LJUBLJANA, IDRIJA, KRANJ - Danes ob 21. uri bo na Šuštarskem mostu v Ljubljani potekal koncert orkestra Big Band, ki je le eden treh današnjih koncertov, ki jih pripravlja Imago Sloveniae - Podoba Slovenije v sodelovanju z Društvom za oživljanje kulturne podobe starega mestnega jedra v okviru poletnega festivala Poletje v Stari Ljubljani. V Idriji bo na gradu Gewerkenegg ob isti uri potekal koncert simfoničnega orkestra RTS, v Kranju pa lahko na gradu Khishlstein prisluhnete koncertu kvinteta trobil.","LJUBLJANA, IDRIJA, KRANJ - Danes ob 21. uri bo na Šuštarskem mostu v Ljubljani koncert orkestra Big Band, ki je le eden od treh koncertov, ki jih danes v okviru poletnega festivala Poletje v Stari Ljubljani organizira Imago Sloveniae - Podoba Slovenije v sodelovanju z Društvom za revitalizacijo kulturne podobe starega mestnega jedra."
Za boljši turizem,Za boljši turizem
JADRANKA DAVIDOVIČ,Jadran Davidovič.
"Letos rekordna udeležba mladij zamejcev, prišlo je kar dvaintrideset otrok","Letos je rekordna udeležba mladih, je bilo dvaintrideset otrok"
Podpisali sporazum o delitvi premoženja,Podpisan sporazum o delitvi sredstev
Račune bo treba pošiljati na poštni predal,Računi bodo morali biti poslani v vaš poštni predal
"Nadaljuje se težnja po nižanju cen, čeprav bo poseben pritisk pomenila uvedba DDV. V D & B pričakujejo, da bo letošnja inflacija pri nas 5,5-odstotna. Slabo je v industriji, kjer zadnji podatki kažejo, da je njen obseg letos padel kar za osem odstotkov, zaradi česar so znižali pričakovanja tudi glede naše gospodarske rasti, ki naj bi letos znašala 2,1 odstotka (prej 2,3 odstotka).","Trend zniževanja cen se nadaljuje, čeprav bo uvedba DDV-ja prinesla še poseben pritisk. D&B pričakuje, da bo inflacija v Sloveniji letos znašala 5,5%. Slaba je v industriji, kjer zadnji podatki kažejo, da se je njen obseg letos zmanjšal kar za osem odstotkov, kar je tudi znižalo pričakovanja glede naše gospodarske rasti, ki naj bi letos znašala 2,1 odstotka (prej 2,3 odstotka)."
"LJUBLJANA, 14. - Računsko sodišče je pregledalo računovodske izkaze Sklada RS za razvoj za leto 1996 in ugotovilo, da ti izkazujejo resnično in verodostojno finančno stanje razen vpliva popravkov vrednosti dolgoročnih finančnih naložb na izkaze, zaradi česar je senat pod predsedstvom Ane Praprotnik izrekel mnenje s pridržkom.","LJUBLJANA, 14. - Računsko sodišče je pregledalo računovodske izkaze Razvojnega sklada Republike Slovenije za leto 1996 in ugotovilo, da prikazujejo resnično in verodostojno finančno stanje, razen vpliva popravkov vrednosti dolgoročnih finančnih naložb na računovodske izkaze, zaradi česar je senat podal mnenje s pridržkom"
"Direktorska plača za 1,3 milijona previsoka",1.3 milijona dolarjev plača previsoka
Podražitve najmanj bolijo na počitnicah,Cene na dopustu najmanj bolijo
Kmalu enotni zakladniški račun države namesto več kot 13.000 žiro računov,Kmalu enotni zakladniški račun države namesto več kot 13.000 žiro računov
"""Precej naravno"" padanje evra...","""Precej naraven ""padec evra..."
"Ta teden bo ""veličastnih"" sedem v Bruslju razpravljalo predvsem o Balkanu in drugih (Rusiji, Braziliji, Argentini). Le bežno se bodo dotaknili evra, kot pravijo. Že vedo, kaj so prioritete, mar ne.","Ta teden, ""veličasten"" sedem v Bruslju bodo razpravljali predvsem na Balkanu in drugih (Rusija, Brazilija, Argentina). Ti bodo le na kratko dotaknil evra, kot pravijo. Ti že vedo, kaj so prednostne naloge, ne ti."
