original,paraphrase
"Red pri predpisovanju eritropoetina, a v breme nič krivih bolnikov?","Rdeča barva pri dajanju eritropoetina, vendar na račun bolnikov brez krivde?"
"ROVINJ, 22. Georg Rakić in njegova žena Vesna Pavlin Rakić sta bila umorjena s strelnim orožjem v noči na minulo soboto, obdukcijo njunega 12-letnega sina pa bodo opravili danes, je povedal patolog Ilija Kučinar iz puljske bolnišnice. Medtem intenzivna preiskava poteka tudi v Sloveniji. Policija sprašuje poslovne partnerje, znance in prijatelje preminulih.","ROVINJ, 22. Georg Rakić in njegova žena Vesna Pavlin Rakić sta bila v noči na prejšnjo soboto umorjena s strelnim orožjem, danes pa bodo opravili obdukcijo njunega 12-letnega sina, je povedal patolog Ilija Kučinar iz puljske bolnišnice, medtem ko v Sloveniji poteka intenzivna preiskava."
Izraelski zunanji minister Šimon Peres na uradnem obisku v Sloveniji,Izraelski zunanji minister Shimon Peres na uradnem obisku v Sloveniji
"""Ljudje, ki kupujejo slike - tisti, ki imajo denar, ki so si ga zaslužili s špekulacijami, saj s poštenim delom ne moreš zaslužiti veliko - niso senzibilni, to so voluharji.""EU je za obvezujoče sklepe vrha o trajnostnem razvoju","""Ljudje, ki kupujejo slike - tisti, ki imajo denar, tisti, ki so zaslužili denar od špekulacij, ker z poštenim delom ne moreš veliko zaslužiti - niso razumni, so voluharji."" EU podpira zavezujoče sklepe vrha o trajnostnem razvoju."
Skladom ne bo več dolgčas,Nič več dolgočasnega sklada
O morski meji in incidentih,Morske meje in nesreče
"Sam imenujem sredinsko črto črta HI (hrvaška izmišljija). Gre za enostranski akt Republike Hrvaške na podlagi listine OZN o razmejitvi v zalivih. V dokaz navajajo prvi odstavek listine, drugega, ki jih negira, pa zamolčijo. Podobno ravnajo pri določitvi kopenske meje, kjer jim koristi, se sklicujejo na kataster, kjer pa bi kataster na naraven način uredil morsko mejo, pa previdno molčijo ali pa bi takšno možnost zavračali, češ da gre za ozemeljsko zahtevo, kar pa to nikakor ne bi bila. Šlo bi zgolj za določitev (korekturo) meje na terenu, kar se je že ali se še bo zgodilo na mnogih točkah od Jadrana do tromeje z Madžarsko.","To je enostranski akt Republike Hrvaške na podlagi Ustanovne listine ZN o razmejitvi v zalivih. Kot dokaz navajajo prvi odstavek Listine, medtem ko drugi odstavek, ki jih zanika, ni omenjen. Podobno ravnajo pri določanju kopenske meje, kjer jim koristi, se sklicujejo na kataster, kjer bi kataster uredil morsko mejo na naraven način, vendar so skrbno tiho. Ali pa bi zavrnili takšno možnost, pravijo, da je to ozemeljska zahteva, ki je nikakor ne bi bilo. To bi bila samo stvar določitve (popravila) meje na terenu, kar se je že zgodilo ali se bo zgodilo na mnogih točkah od Jadrana do treh meja."
"IZTOK PEČARTrinkova 1, Piran",Spomladanske počitnice 1 v Piranu
"Iz zapisov je razvidno, da je bilo ob koncu druge svetovne vojne v Sloveniji 3500 do 4000 potočnih mlinov in žag. Stoletno mlinarsko tradicijo v Sloveniji potrjujeta zapisa, eden o mlinu na Tržiški Bistrici izpred 1000 let, drugi o Sorževem mlinu izpred 700 let. Stoletno mlinarstvo potrjujeta tudi freski v cerkvah v Srednji vasi pri Šenčurju in v Crngrobu.","Zapisi kažejo, da je bilo ob koncu druge svetovne vojne na Slovenskem med 3500 in 4000 rečnih mlinov in žag, stoletno mlinsko tradicijo pa potrjujejo tudi zapisi, prvi o mlinu v Tržiški Bistrici pred 1000 leti, drugi o Soržetovem mlinu pred 700 leti."
Obveščanje škriplje,Obvestilo o škripanju
