original,paraphrase
"12. Kitajska 3,21","12. Kitajska 3,21"
"25. Venezuela 2,85","25. Venezuela 2,85"
"38. Turčija 2,61","38, Turčija 2,61."
"44. Portugalska 2,45","44. Portugalska 2,45"
18.00 Pokrajinski muzej Celje,18.00 Pokrajinski muzej Celje
22.00 Hound Dog klub Ljubljana,22.00 Hound Dog klub Ljubljana
koncert,koncertna predstava
Secesijska arhitektura v Ljubljani in njen odmev na Gorenjskem,Secesijska arhitektura v Ljubljani in njen odmev na Gorenjskem
Režija: Branka Bezeljak Glazer,Režija: Branka Bezeljak Glazer
"DAN PETEK, 16. 2.","PETEK, 16. februar."
koncert,koncertna predstava
22.00 Captain Hook's Club Nova Gorica,22.00 Klub kapitana Kljuke Nova Gorica
22.00 MKNŽ Ilirska Bistrica,22.00 MKNŽ Ilirska Bistrica
koncert,koncertna predstava
koncert,koncertna predstava
državno prvenstvo v gledališki improvizaciji,Državno prvenstvo v gledališki improvizaciji
Cena,Cena za:
Vpliv Marjana Podobnika na tehnologije 21. stoletja,Vpliv Marjana Podobnika na tehnologije 21. stoletja
"Ne vem 11,3 %","ne vem točno 11,3%."
Vsi vemo: internetni gigant America Online in medijski gigant Time Warner sta se poročila,"Vsi vemo, da sta se poročila internetni velikan America Online in medijski velikan Time Warner."
Nevarna razmerja,Nevarna razmerja so
"Ne, po ZKSu.","Ne, glede na ZKS."
"Nova parlamentarna garnitura je Kretenčkovemu atu v neizčrpen navdih, zato se mu vsakič, ko vrže oko v poslanske dvore na Šubičevi, utrne kak žlahten stih. Koga je imel tokrat v mislih, boste precej ugotovili, če pravilno premečete največje in najbolj mastno odtisnjene črke. Za domovino z matastimi šnicli naprej!","Nova poslanska zasedba je neizčrpen navdih Kretenčkovemu očetu, tako da vsakič, ko vrže oko v poslanska sodišča na Šubičevi, dobi neke vrste žlahtne kitice. Koga pa je imel tokrat v mislih, boste kar veliko izvedeli, če pravilno mečete največja in najbolj mastna pisma."
MED Naporen lov,Med divji lov
"»Aha, štiri otroke imaš, čestitam!« se derem v slovenščini, v upanju, da bom preglasila motor. Aymen, palestinski ribič, sune Adahma in pokaže nekajkrat po pet prstov. Najbrž bo star 20 let, ne verjamem, da ima že toliko otrok. ","""aha, imaš štiri otroke, čestitam"" kričim v slovenščini, v upanju, da bom premostil kolo. Aymen, palestinski ribič, sune Adahma in pokaže nekajkrat pet prstov, verjetno bo star 20 let, mislim, da nima toliko otrok."
"Izkoristim trenutek njihove nepazljivosti in se jim izmuznem. Stopim proti sredini barke in se končno v miru zazrem v daljavo. Toliko ribiških plovil na kupu še nisem videla. Zares se niti ne čudim. Pogled samo potrjuje številke, ki sem jih dobila v ribiški zadrugi v Gazi. ","Ob prednosti svoje nepazljivosti, zdrsnem stran in korak v sredini čolna in končno pogled v daljavo v miru. Še nikoli nisem videl toliko ribiških plovil v kupu. Nisem presenečen. To samo potrjuje številke sem dobil na Ribiška zadruga v Gazi."
