original,paraphrase
Matura je za njimi,Razred je za njimi.
Matura izgublja čar,Šola izgubi čar
"Začenja se nova akcija zbiranja slikic vaših dojenčkov, ki jih bomo z veseljem objavili. ","Nova akcija se začenja zbirati slike vaših dojenčkov, ki jih bomo z veseljem objavili."
Devetmesečni in neverjetno prikupni Žan Ožek je zatisnil očke in odpotoval v deželo sanj.,Devetmesečni in neverjetno simpatični Žan Ožek je zaprl oči in odpotoval v deželo sanj.
Nadarjena Maša,Talentirana masa nas
čeprav napadov sto in sto je doživel.,čeprav je doživel na stotine napadov.
"S športom, s plesi, z izleti, nikakor pa ne z drogami in alkoholom. ","šport, ples, ekskurzije, vendar ne z drogami ali alkoholom."
"Prepozna preventiva. Ko smo na naši šoli pred več kot dvajsetimi leti zasledili prve primere zadrogiranih mladih, sem takoj uvedel organizacijo ustreznih predavanj in v okviru filmskega abonmaja poskrbel za prikazovanje kratkih ter zelo realnih filmov, ki so prikazovali posledice drogiranja mladine. Nekateri so te moje postopke kritizirali, toda še vedno sem mnenja, da pri takšnih rečeh ni popuščanja. K temu me je napeljal tudi neprijeten doživljaj na Finskem, kjer sem naletel na skupino postavnih mladeničev, za katere sem bil prepričan, da so zdravi športniki. Ko so mi povedali, da gre za skupino mamilašev, pa sem doživel velik šok in takoj pripravil plane za našo mladino.","Ko smo pred več kot dvajsetimi leti na naši šoli prvič videli primere odvisnikov od drog, sem takoj uvedel organizacijo primernih predavanj in v okviru filmske naročnine poskrbel za prikazovanje kratkih in zelo realističnih filmov, ki prikazujejo posledice drog na mladino. Nekateri so kritizirali moje postopke, vendar sem še vedno čutil, da v takih stvareh ni razvajanja. K temu me je spodbudila tudi neprijetna izkušnja na Finskem, kjer sem naletel na skupino čednih mladih moških, za katere sem bil prepričan, da so zdravi športniki. Ko so mi povedali, da gre za skupino mamil, sem doživel velik šok in takoj naredil načrte za našo mladino."
"Moral bi pogledati na svoj koledar, ker že štirinajst dni nepretrgoma žuriram. To je prenaporno.","moral bi pogledati na svoj koledar, saj sem bil zabave non-stop za štirinajst dni."
"Skupaj z izvodom Celjana se oglasite najkasneje do petka do 16. ure v našem uredništvu v Aškerčevi ulici 15 v Celju (nasproti avtobusne postaje), kjer vas čaka nagrada.","Skupaj s Celjskim izvodom vas prosimo, da najkasneje v petek do 16. ure pridete v naše uredništvo na Aškerčevo ulico 15 v Celju (blizu avtobusne postaje), kjer vas čaka nagrada."
"»Posebna vrednost preživljanja prostega časa v telovadnici je za mlade prav gotovo v tem, da jih odtegnemo cesti, starejšim pa pomeni prijetno druženje,« pojasnjuje Omi. Soproga ga dopolni:«Šport nas je združil, da nas veže prijateljstvo tudi izven telovadnice. Glejte, vsako soboto se ob isti uri zberemo v mestu ob kavici.«","""Posebna vrednost preživljanja prostega časa v telovadnici za mlade ljudi je gotovo v tem, da jih odpeljemo s ceste, za starejše pa to pomeni prijetno druženje,"" pojasnjuje Omi. Žena še dodaja: ""Šport nas je združil, da bi postali prijatelji zunaj telovadnice. Glej, vsako soboto ob istem času se zberemo v mestu na kavi."""
