original,paraphrase
"Pina je nagnjena k zbiranju. Najnovejša strast: keramične punčke. Začelo se je z Metko, še Marinkino punčko. Pred nedavnim ji je odpadla noga, a je kljub temu še vedno prav imenitna lutka. ","Zadnja strast: Keramične lutke. Začelo se je z Metko, celo Marinkino lutko. Pred kratkim ji je odpadla noga, ki pa je še vedno zelo fina lutka."
"Tudi Marinka meni, da je okus povezan z razmišljanjem in odnosom do sveta. Je odraz tega, kako funkcioniraš. »Ko vstopim v neko stanovanje, vem, s kakšnim človekom imam opravka,« pove. Marija v pozlati in pod steklenim zvonom na kredenci, v dnevni sobi pa nič. ","Marinka tudi verjame, da je okus povezan z mišljenjem in odnosom do sveta, je odraz tega, kako funkcioniraš. ""Ko vstopim v stanovanje, vem, s kakšno osebo imam opravka,"" pravi."
foto 10,fotografija 10
"Korant je oblečen v ovčji kožuh. Včasih, ko so ljudje na podeželju še nosili kožuhe, so uporabljali kar te, samo da so jih obrnili z dlako navzven. Danes za en korantov kožuh porabijo od pet do sedem ovčjih kož, odvisno od velikosti in postave fanta, ki ga bo nosil. Večinoma so svetle barve, redkeje vidimo črne.","Korant je oblečen v ovčjo kožo. Včasih, ko so ljudje na podeželju še vedno nosili plašče, so uporabili vse te, da so jih obrnili navzven. Danes se za plašč enega koranta uporablja pet do sedem ovčjih kož, odvisno od velikosti in zgradbe fanta, ki ga nosi. Večinoma so svetle barve, le redko se jih vidi kot črne."
"Les je prevladujoč material v paviljonu, ki se zvija nad pokrajino narodnega parka Veluwe Zoom na Nizozemskem. Natezni konstrukcijski elementi so jekleni, tlačni pa iz neobdelanega hrasta. Zaradi velikih steklenih površin in hrastovih debel se zdi, da se park razliva čez paviljon. Meje med zunaj in znotraj so zabrisane. Arhitektura: Bjarne Mastenbroek, de architectengroep Amsterdam","Les je prevladujoči material v paviljonu, ki se kotali po pokrajini Narodnega parka Veluwe Zoom na Nizozemskem. Natezni konstrukcijski elementi so iz jekla, kompresijski pa iz neobdelanega hrasta. Zaradi velikih steklenih površin in hrastovih debel se zdi, da se park preliva čez paviljon. Meje med zunanjostjo in notranjostjo so zamegljene. Arhitektura: Bjarne Mastenbroek, de architectengroep Amsterdam"
"Lekarna Lairesse, Amsterdam","Pharmacy Lairesse, Amsterdam"
Foto: Hans Werlemann,Avtor fotografije: Hans Werlemann
Portret: Jane Štravs,Portret z Jane Štravs
"Škoberne: Ker imam tako rada mesto, sem včasih kar žalostna, ko grem ponoči po Ljubljani ali kadar se vrnem s kakšnega potovanja. Kakšno mirno mesto! Ob enajstih zvečer na glavni ljubljanski ulici ni nikogar.",": Škoberne Ker imam mesto tako rada, sem včasih žalostna, ko se po Ljubljani odpravim ponoči ali ko se vrnem s potovanja."
"Kobe: Nič nimam proti multikinu, me pa žalosti, da smo s postavitvijo multikina ubogali to populistično selitev mestnega življenja v periferne nakupovalne centre. Prostor zanj smo že imeli, v Šumiju v središču Ljubljane! V Londonu smo že v študentskih časih hodili v multikino, že v sedemdesetih letih!",": Kobe Nič nimam proti multikinu, vendar me žalosti, da smo z ustanovitvijo multikina! ubogali to populistično migracijo mestnega življenja v obrobna nakupovalna središča. Za to smo že imeli prostor, v Šumiju v središču Ljubljane V Londonu smo že šli v multikino v naših študentskih časih, že v"
