original,paraphrase
Do leta 2000 je še 501 dan,Ostaja še 501 dni do leta 2000.
"BREZJE, 17. - Kakšnih 5000 romarjev je v soboto obiskalo osrednje slovensko romarsko središče in pred baziliko Marije Pomagaj sodelovalo pri slovesnosti ob največjem Marijinem prazniku, s katero so obnovili posvetitev slovenskega naroda Mariji izpred šestih let. Somaševal je slovenski metropolit in ljubljanski nadškof dr. Franc Rode.","NOZJE, 17. - Osrednje slovensko romarsko središče je v soboto obiskalo okoli 5000 romarjev, ki so se udeležili slovesnosti ob največjem Marijinem dnevu, s katero so pred šestimi leti obnovili posvetitev slovenskega naroda Mariji."
"Združitev naj bi po mnenju predstavnikov komisije povečala konkurenco na švedskem energetskem trgu, kjer sta do zdaj prevladovali dve družbi, in sicer Vattenfall in Sydkraft. Vattenfall ima na švedskem energetskem trgu 50-odstotni delež, Sydkraft 40-odstotnega, novo podjetje Birka Energi AB pa bo imelo preostalih 10 odstotkov. (sk)","po mnenju Komisije bo združitev povečala konkurenco na švedskem energetskem trgu, na katerem sta do zdaj prevladovali dve podjetji, Vattenfall in Sydkraft. Vattenfall ima 50-odstotni delež na švedskem energetskem trgu, Sydkraft ima 40-odstotni delež, medtem ko bo imelo novo podjetje, Birka Energi AB, preostalih 10-odstotni delež."
ECB želi uvesti sistem minimalnih rezerv,ECB bo uvedla sistem obveznih rezerv
"Drugi odsek nadzira podjetja, ukvarja pa se tudi s preprečevanjem kakršnihkoli malverzacij. Obe ekipi sta kot samostojna sektorja začela delovati zelo uspešno. Sodelujeta tudi s tujimi skupinami in jim zelo pomagata, izmenjujejo si tudi informacije.","Drugo poglavje spremlja podjetja in se ukvarja tudi s preprečevanjem morebitnih malverzij. Obe ekipi sta začeli zelo uspešno delovati kot samostojna sektorja. Prav tako sodelujejo s tujimi skupinami in jim veliko pomagajo, kakor tudi izmenjujejo informacije."
"Govora je seveda o več tisoč uradnikih Evropske komisije, Evropskega parlamenta, ministrskega sveta in drugih ustanov EU, civilnih ter vojaških predstavnikov pri Natu, ki ta čas zaprejo pisarne. Tiskovna služba Evropske komisije je sicer dostopna ves avgust, vendar je na voljo samo dežurni predstavnik, novinarji pa se v poletnem času prelevijo v ""kratkohlačnike"" in sem ter tja pridejo na kak brifing kar z vso družino.","Seveda obstaja na tisoče uradnikov Evropske komisije, Evropskega parlamenta, ministrskega sveta in drugih institucij EU, civilnih in vojaških predstavnikov v Natu, ki v tem času zaprejo svoje pisarne Tiskovna služba Evropske komisije je na voljo ves avgust, vendar je na voljo le dežurni predstavnik, novinarji pa se v poletnem času spremenijo v ""kratke hlače"" in pridejo sem in tja na sestanek z vso družino."
"Med mlajšimi kandidatkami je tiskovna predstavnica komisarja za zunanjo politiko Hansa van den Broeka Lousewies van der Laan, ki se je povzpela pod sam vrh nizozemske reformne stranke D66 (stranko je nedavno zaradi izgube polovice poslanskih mest na nizozemskih volitvah zapustil njen ustanovitelj Hans van Mierlo, nizozemski zunanji minister in nekdanji novinar).","Med mlajšimi kandidati je tiskovni predstavnik komisarja za zunanjo politiko Hans van den Broek Lousewies van der Laan, ki se je povzpel pod vrh nizozemske reformne stranke D66 (stranko je pred kratkim zapustil njen ustanovitelj Hans van Mierlo, nizozemski zunanji minister in nekdanji novinar zaradi izgube polovice svojih sedežev na nizozemskih volitvah)."
"Vse pa še ni izgubljeno. Svojo novo vlogo bi sindikati lahko odigrali pri procesu spodbujanja delničarstva zaposlenih, in sicer bi lahko pomembno posredovali v dialogu z novimi lastniki kapitala. Sedanje povezovanje notranjih lastnikov v družbe pooblaščenke večinoma vodijo motivi menedžmenta, ki hočejo zaposlene pridobiti v boju zoper zunanje lastnike. Takšno organiziranje pa pogosto ne koristi drugemu kot ohranjanju nedotakljivosti posameznih direktorjev, ki nikakor nočejo začeti prestrukturiranja svojega podjetja. Sindikat bi lahko v podjetjih spodbujal in organiziral nastanek družb pooblaščenk, ki bi delovale kot okvir za učinkovito zaščito pravic zaposlenih in kot dodatna možnost za pokojninsko varčevanje zaposlenih. Proces konsolidacije lastništva v podjetjih, prihajajoče obdobje prestrukturiranja podjetij in uvajanje pokojninske reforme bi prav gotovo potekali bolje, če bi sindikati sprejeli takšno vlogo in s tem postali dejanski zastopniki interesov zaposlenih.","Novo vlogo v procesu spodbujanja lastništva delnic zaposlenih pa bi lahko s pomembnim dialogom z novimi lastniki kapitala odigrali tudi sindikati. Sedanje vključevanje notranjih lastnikov v podjetja zastopniških podjetij je predvsem posledica motivov vodstva, ki želi pridobiti zaposlene v boju proti zunanjim lastnikom. Takšna organizacija pogosto nima drugega namena kot ohranjanje integritete posameznih direktorjev, ki ne želijo začeti prestrukturiranja svoje družbe. Sindikat bi lahko spodbujal in organiziral ustanavljanje zastopniških družb v družbah, ki bi delovale kot okvir za učinkovito varstvo pravic zaposlenih in kot dodatna možnost za pokojninsko varčevanje zaposlenih. Proces konsolidacije lastništva družb, prihajajoče obdobje prestrukturiranja družb in uvedba pokojninskih skladov bi bila zagotovo uspešnejša, če bi sindikati sprejeli takšno reformo."
ČRTOMIR JAKHEL,Snemalnik za Jakhel
Vse konoplje v istem košu,Vse v isti košarici
"Bogomil Ž. se je z avtom peljal po lokalni cesti zunaj Spodnje Kungote in zapeljal proti križišču z regionalno cesto. Od Spodnje Kungote proti Doljni Počehovi pa je takrat s tovornjakom pripeljal 22-letni Aleš H. iz Maribora. Voznik tovornjaka se je začel umikati v levo, a je kljub temu trčil v avto, ki ga je vozil Bogomil Ž. Voznika avtomobila je nato vrglo iz avtomobila na cesto, kjer je zaradi hudih ran umrl. (ng)","Bogomil Ž. se je z avtomobilom peljal po lokalni cesti izven Spodnje Kungote in zapeljal proti križišču z regionalno cesto. Iz Spodnje Kungote proti Dolnji Počehovi se je s tovornjakom peljal 22-letni Aleš H. iz Maribora. Voznik tovornjaka se je začel umikati v levo, a je vseeno trčil v avtomobil, ki ga je vozil Bogomil Ž. Voznik avtomobila je nato avtomobil vrgel iz avtomobila na cesto, kjer je umrl zaradi hudih ran."
"Od njega se bomo poslovili v torek, 18. avgusta 1998, ob 18. uri izpred mrliške vežice v Logatcu.","Od njega se bomo poslovili v torek, 18. avgusta 1998, ob 18. uri pred mrtvašnico v Logatcu."
"Žalujoči: žena Rozka, sin Boštjan in hči Mihaela z možem",": Žalostna žena Rozka, sin Boštjan in hči Mihael z možem"
Solisti iz St. Peterburga,Solisti iz Sankt Peterburg
