original,paraphrase
"4. Lukaševič (Ukr) 826, 5. Prah (Nem) 819, 6. Burge (Avstral) 815, 7. Meliz (Kuba) 808, 8. Phillips (ZDA) 806 ... 15. Cankar (Slo) 798.","Lukaševič (Ukr) 826, 5. Prah (Germ) 819, 6. Burge (Avstralija) 815, 7. Meliz (Kuba 808, 8. Phillips (ZDA) 806... 15. Cankar (Slo)"
"B Chris Huffins (ZDA) 8.595,","B Chris Huffins (ZDA) 8.595,"
Krogla:,Ključna beseda: bullet
"S Paul Foerster-Bob Merrick (ZDA) 42 (8, 9, 4, 11, 1, 1, 6, 12, 13, 1, 1),","Paul Foerster-Bob Merrick (ZDA) 42 (8, 9, 4, 11, 1, 1, 1, 6, 12, 13, 1, 1),"
470:,: 470 ur
Konjeništvo,Jahanje na konju
"B Brazilija (Pessoa, De Azevedo, Neto, Johannpeter) 24,00,","B Brazilija (Pessoa, De Azevedo, Neto, Johannpeter) 24,00,"
Ženske:,: stranka za ženske
"4. Brazilija, 5.-8. Kitajska, Švedska, Avstralija in Nigerija.","Brazilija, 5-8. Kitajska, Švedska, Avstralija in Nigerija."
Odbojka,Odbojkarske zmogljivosti
"S Aleksander Dobroskok, Dimitri Sautin (Rus) 329,97,","s Aleksander Dobroskok, Dimitri Sautin (ruščina) 329,97,"
"4. Dumais, Pichler (ZDA) 320,91, 5. Rueda, Platas (Meh) 317,70, 6. Emptoz-Lacote, Pierre (Fra) 310,08, 7. Shipman, Ally (VB) 296,64, 8. Marconi, Miranda (Ita) 286,38.","Dumais, Pichler (ZDA) 320,91, 5, Rueda, Platas (Meh) 317,70, 6 Emptoz-Lacote, Pierre (Fra 310,08, 7) Shipman, Ally (Velika Britanija) 296,64, 8 Marconi, Miranda (Ita) 286,3"
"Z Na Li, Xue Sang (Kit) 345,12,","z Na Li, Xue Sang (komplet) 345,12,"
Moški,Moški se je
"S Hieu Ngan Tran (Vie),","s Hieu Ngan Tran () Vie,"
Moški - posamezno:,Moški - individualno
"Petek: finali - atletika: 50 km hoja (m) - 23.00, kladivo (ž) - 9.00, palica (m) - 9.30, daljava (ž) - 10.20, 3000 m zapreke (m) - 10.25, 1500 m (m) - 11.00; hokej na travi (ž, Argentina - Avstralija); jadranje: evropa, laser (V. Žbogar) - 9.00; sinhronizirano plavanje (ekipno); taekwondo: do 67 kg (ž), do 80 kg (m).","Petek finale - atletika 50 km hoje (m) - 23.00, kladivo (ž) - 9.00, palica (m) - 9.30, razdalja (ž - 10.20, 3000 m blokov (m; - 10.25, 1500 m (m) - 11.00 hokej na travi (ž, Argentina - Avstralija); jadranje europa, laser (V.) Žbogar - 9.00; sinhronizirano plavanje (no) taekwondo do 67 kg (ž:), do 80 kg (m:)."
"»V torek, ko je bil Rajmond še tu, nam ga je zagodel dež, pa tudi Luke zjutraj ni bilo mogoče najti niti s policijo, včeraj je bilo vreme idealno. Posnetki so uspeli, Iztok in Luka pa sta bila zelo dobra manekena, fotografiranje pa je motila velika množica mimoidočih, podpisala sta na stotine avtogramov, mnogi pa so se želeli z zlatima kolajnama seveda še fotografirati,« je dejal po »akciji« Aleš Fevžer.","""V torek, ko je bil Rajmond še vedno tukaj, smo se ujeli v dežju, in Luke ni bilo mogoče najti niti s policijo v dopoldanskem času, včeraj je bilo vreme idealno. Posnetki so bili uspešni, Iztok in Luka pa sta bila zelo dobra modela, vendar je streljanje motila velika množica mimoidočih, podpisali so na stotine avtogramov, mnogi med njimi so se želeli slikati z zlatimi medaljami,"" je dejal po ""kampanji"" Aleš Fevžer."
Teniški dvoboj spolov odpadel,Teniška tekma glede na spol
"Poslanci tajskega parlamenta so si med rednim zasedanjem vzeli 15 minut premora, da bi si ogledali boksarski dvoboj med zlatim tajskim dečkom Somluckom Khamsingom in Američanom Ricardom Juarezom. Predsednik parlamenta je prekinil razpravo o dveh zakonih in sporočil, da je tajski boksar Wijan Ponlid premagal dvakratnega svetovnega prvaka v mušji kategoriji, Kubanca Manyillo Rodrigueza. Poslanci so nato takoj zahtevali 15-minutni odmor, da bi lahko po televiziji spremljali naslednji dvoboj tajskega boksarja, ki je pred štirimi leti v Atlanti osvojil prvo olimpijsko zlato za Tajsko.","Člani tajskega parlamenta so si med rednim zasedanjem vzeli 15-minutni odmor in si ogledali boksarsko tekmo med zlatim tajskim fantom Somluckom Khamsingom in Američanom Ricardom Juarezom. Predsednik parlamenta je prekinil razpravo o dveh zakonih in napovedal, da je tajski boksar Wijan Ponlid premagal dvakratnega svetovnega prvaka v kategoriji v letenju, Kubana Manyilla Rodrigueza. Poslanci so nato takoj zahtevali 15-minutni odmor, da bi si na televiziji ogledali naslednjo tekmo tajskega boksarja, ki je pred štirimi leti v Atlanti osvojil prvo olimpijsko"
