original,paraphrase
"Nobeden od prisotnih ni znal poslancem pojasniti, kakšni bodo finančni učinki sprememb in kaj to pomeni za višino pokojnin, prevladalo pa je mnenje, da bo januarska uskladitev pokojnin povzročila še večjo luknjo v pokojninski blagajni, če ne bodo sprejeli novih pravil. Vinko Gobec, predsednik Zveze društev upokojencev Slovenije, je povedal, da podpirajo spremembo zakona, ne z aplavzom, ampak zaradi solidarnosti z vsemi deli družbe. Povedal je še, da naj bi bile pokojnine v predvideni februarski uskladitvi višje za 6,3 odstotka. Andreja Vizjaka (SDS) je zanimala ocena učinkov sprememb, a ker ni dobil odgovora na vprašanje, je glasoval proti predlagani noveli zakona. Po njegovem gredo predvideni prihranki izključno na račun upokojencev, ""kar bo prihranjeno, bodo manj dobili upokojenci"". Meni tudi, da je predlagana sprememba kritika pokojninski reformi.","Nihče od prisotnih poslancev ni znal pojasniti, kakšni bodo finančni učinki sprememb in kaj to pomeni za raven pokojnin, prevladalo pa je mnenje, da bo januarska uskladitev pokojnin povzročila še večjo luknjo v pokojninskem skladu, če ne bodo sprejeta nova pravila. Vinko Gobec, predsednik Zveze društev upokojencev Slovenije, je dejal, da spremembe zakona ne podpirajo z aplavzom, ampak zaradi solidarnosti z vsemi deli družbe. Povedal je tudi, da bodo pokojnine v februarski načrtovani prilagoditvi višje za 6,3 odstotka. Andrej Vizjak () je bil zainteresiran za oceno učinkov sprememb, ker pa ni dobil odgovora na vprašanje, je glasoval proti predlaganemu novemu zakonu. Po njegovem mnenju so prihranki, ocenjeni izključno na račun upokojencev, višji."
"Kaže, da si tri občine, solastnice Aerodroma Maribor, in država težave tega podjetja podajajo kot vroč krompir. Ko se je težav z nelikvidnostjo družbe nabralo toliko, da ni več drugega izhoda kot stečaj ali prisilna poravnava in so župani mestne občine Maribor ter občin Miklavž na Dravskem polju in Hoče-Slivnica želeli opraviti razgovor z ministroma resorjev, ki lahko zelo vplivata na usodo mariborskega letališča, se je pokazalo, da si je država vzela še nekaj časa in pustila, da se vroč krompir vsaj še malo hladi v rokah treh županov. Ministra za obrambo ter za promet in zveze se bosta z župani namreč sestala šele v prihodnjih dneh, včeraj pa sta v Maribor poslala drugo ali celo tretjo garnituro. Ta nekaterih nujnih odgovorov in predvsem odločitev seveda ni mogla ponuditi.","Zdi se, da tri občine, solastniki Aerodroma Maribor in država težave te družbe predstavljajo kot vroč krompir. Ko so se težave z nelikvidnostjo družbe tako nakopičile, da ni drugega izhoda kot stečaj ali prisilna poravnava, pa so se župani mariborske občine ter občin Miklavž na Dravskem polju in Hoče-Slivnica želeli pogovoriti z ministroma resorjev, ki imata lahko velik vpliv na usodo mariborskega letališča, se je izkazalo, da si je država vzela nekaj časa, da ohladi vroč krompir v rokah treh županov. Ministri za obrambo in promet in zveze se bodo s tretjimi župani sestali šele v prihodnjih dneh, v Maribor pa so poslali še drugi ali celo drugi sklop nujnih odgovorov."
"Svoj prispevek k ohranjanju mariborskega letališča pa bi država morda lahko pokazala tudi s pripravljenostjo, da mu zagotovi del t. i. cargo prometa, ki poteka v državi, in sem preusmeri tudi kakšen odstotek potnikov z ljubljanskega letališča. Vendar bo to verjetno eden najtrših orehov, ki jih bo treba streti, če naj bi mariborsko letališče še kdaj doživelo vsaj delček svojih starih časov. Tistih, v katerih so zaposleni resnično imeli delo in jim ni bilo treba razmišljati o tem, kaj bi bilo zanje bolje - stečaj ali prisilna poravnava.","Svoj prispevek k ohranitvi mariborskega letališča bi država morda lahko pokazala tudi s tem, da bi mu bila pripravljena zagotoviti del t. i. tovornega prometa, ki poteka v državi, in hkrati preusmeriti odstotek potnikov z ljubljanskega letališča, kar pa bo verjetno ena najtežjih matic, če bo mariborsko letališče kdaj doživelo vsaj delček starih časov, v katerih so zaposleni res imeli službo in jim ni bilo treba razmišljati o tem, kaj bi bilo bolje zanje - stečaj ali prisilno poravnavo."
Zmeda med proizvajalci mesno-kostne moke,Zmeda med proizvajalci mesno-kostne moke
"Zavezanec za vračilo podržavljenih kmetijskih zemljišč, gozdov in nadomestnih zemljišč je po zakonu o denacionalizaciji Sklad kmetijskih zemljišč in gozdov. Letošnje poročilo o denacionalizaciji posebej poudarja težave, ki jih ima pri tem sklad, ker zaradi umanjkanja informacij iz upravnih enot ni zmeraj znano, ali je potencialno nadomestno zemljišče morda v denacionalizacijskem postopku, natančne evidence zemljišč, ki jih nihče ne zahteva v vračilo, pa tudi ni. Katastri kmetijskih zemljišč in gozdov so še zmeraj neažurni, to pa med drugim otežuje vračanje komasacijskih zemljišč, zemljišč v kompleksih...","V skladu z zakonom o denacionalizaciji je Sklad kmetijskih zemljišč in gozdov odgovoren za vrnitev nacionaliziranih kmetijskih zemljišč, gozdov in nadomestnih zemljišč. Letošnje poročilo o denacionalizaciji posebej izpostavlja težave, s katerimi se srečuje sklad, saj zaradi pomanjkanja informacij upravnih enot ni vedno znano, ali je možno, da je morebitno nadomestno zemljišče v denacionalizacijskem postopku, točne evidence zemljišč, ki jih nihče ne zahteva, da se vrnejo, in tudi odsotnost le-teh."
(sta),(Oni so!)
"Predsednik odbora za zunanjo politiko je potrdil, da so včeraj govorili tudi o tako imenovanem primeru Joras, vendar na način, kakršen je primeren, ko gre za osebno stisko posameznika.","Predsednik odbora za zunanjo politiko je potrdil, da so včeraj govorili tudi o tako imenovanem primeru Joras, a na način, kot je primeren, ko gre za osebno stisko posameznika."
Učitelji slabo stavkali,Učitelji slabo stavkajo
"Danes tako stavkajo sindikati zaposlenih v zdravstvu in socialnih ustanovah, v ponedeljek pa se bodo stavki pridružili še zaposleni v državni upravi.","Danes stavkajo sindikati zdravstvenih in socialnih delavcev, v ponedeljek pa se jim bodo pridružili tudi zaposleni v državni upravi."
"Sindikati slabši odziv svojih članov pojasnjujejo s tem, da včerajšnja stavka ni bila pritisk na vlado, temveč v prvi vrsti izraz nezadovoljstva z vladno politiko plač in s kršenjem kolektivne pogodbe pri usklajevanju plač javnih in državnih uslužbencev s plačami v državnih podjetjih.","sindikati pojasnjujejo šibkejši odziv svojih članov, ko pravijo, da včerajšnja stavka ni bila napad na vlado, ampak je bila predvsem izraz nezadovoljstva z vladno plačno politiko in s kršitvami kolektivnih pogodb pri usklajevanju plač javnih in državnih uslužbencev s tistimi, ki so bile v nasprotju z"
