original,paraphrase
"Ker sem se zavedal te »revolucije« v njenem pravem pomenu, sem naredil vse, da bi pred njo obvaroval svoje študente na Visoki šoli za kemično industrijo v Lyonu v obdobju enajstih let (1978–1989), ko sem bil direktor. Pozneje sem ustanovil podjetje za svetovanje na področju menedžementa za pomoč delodajalcem, ki so se zavedali nevarnosti, pri ustvarjanju vzdušja, kjer vlada spoštovanje ljudi, torej načina vodenja, ki ekonomsko realnost združi s spoštovanjem človeka. Vsi, ki so to poskusili, vedo, da gre za zahtevno nalogo, ki pa prinaša prednosti tako uslužbencem kot delodajalcem. ","Ker sem se zavedal te ""revolucije"" v pravem pomenu besede, Naredil sem vse, kar je bilo mogoče zaščititi svoje študente iz nje na Lyon College of Chemical Industries v obdobju enajstih let (1978-1989, ko sem bil direktor. kasneje, Ustanovil sem upravljanje svetovalno podjetje za pomoč delodajalcem, ki so se zavedali nevarnosti, ustvariti vzdušje, kjer je spoštovanje ljudi pravila, to je, način vodenja, ki združuje ekonomsko realnost s spoštovanjem do človeka. Vsi tisti, ki so poskusili to vedo, da je težka naloga, ampak tisti, ki koristi tako delodajalci in zaposleni."
"Pozneje sem na prošnjo Alaina Noëla napisal knjigo Kako najti srečo pri delu, ki je leta 1992 izšla pri založbi Droguert et Ardant. Deset let pozneje, ko so zaloge pošle, sem ugodil prošnjam mnogih in knjigo objavil v »mehki izdaji« za člane kulturnega društva, ki mu predsedujem. Alain Noël meni, da je glede na zdajšnje stanje francoske družbe čas za novo izdajo knjige, in povsem se strinjam z njim. Nedvomno je, da med velikim številom mladih vlada »kriza smisla« – to dokazuje porast zlorab drog, samomorov in tveganega vedenja. Delo je pomemben element, ki osmišlja življenje. Seveda ni ne najpomembnejši ne edini dejavnik, vendar je nepogrešljiv. Ker sem v to prepričan, sem tudi napisal to knjigo in soglašal z njeno prenovljeno izdajo. ","Kasneje, na zahtevo Alain Noel, Napisal sem knjigo Kako najti srečo pri delu, ki je izšla pri Droguert et Ardant leta 1992. Deset let kasneje, ko je zmanjkalo zalog, sem sprejel zahteve mnogih in izdal knjigo v ""mehko"" izdaja za člane kulturnega združenja, ki sem stol. Alain Noël meni, da je, glede na trenutno stanje francoske družbe, je čas za novo izdajo knjige, in se popolnoma strinjam z njo. Ni dvoma, da obstaja ""kriza pomena"" med velikim številom mladih - to dokazuje povečanje zlorabe drog, samomor in tvegano vedenje. Delo je pomemben element, ki daje smisel življenju. Seveda, to ni samo najbolj pomemben dejavnik, vendar je nepogrešljiv."
Namesto uvoda,Namesto uvoda se
"v svetu, ki ga zaznamuje individualizem … ","V svetu, ki ga zaznamuje individualizem..."
"V nadaljevanju bomo govorili o sreči, kar pomeni, da bomo morali podrobneje preučiti človeško naravo. Vsi pravijo, da je sreča nekaj osebnega – preidimo torej na raven osebnega.","Kar sledi, je sreča, kar pomeni, da moramo pobliže pogledati človeško naravo, in vsi pravijo, da je sreča osebna stvar - osebna stvar."
"Pri človeku najbolj preseneča to, da vse svoje življenje ostane, kakršen je, pa vendar se spreminja. ","Pri človeku pa je najbolj presenetljivo to, da vse njegovo življenje ostaja takšno, kakršno je, vendar se spreminja."
"Poglejmo si prvi vidik človeške narave – značilnost, da je hkrati »pogojena« in »svobodna«. Pogojena zato, ker ne nadzorujemo določenih elementov svojega razvoja, rojstva in otroštva, npr. svoje biološke vrste, dednosti, geografskega in klimatskega okolja, letnih časov ter družinskega, socialnega, etničnega, religioznega, političnega in kulturnega okolja. Vse to nas pogojuje na zelo zapleten način. ","Pogojen je zato, ker nimamo nadzora nad nekaterimi elementi našega razvoja, rojstva in otroštva, npr. naše biološke vrste, dednost, geografsko in podnebno okolje, letni časi in družina, socialno, etnično, versko, politično in kulturno okolje, ki nas vse pogojujejo na zelo kompleksen način."
"Tudi naša duša občuti potrebe. Sprašujemo se, kaj je smisel našega življenja. Kaj se bo zgodilo z nami po smrti? Kaj bo zapolnilo našo potrebo po absolutnem? Zakaj je na svetu toliko zla in trpljenja? Imamo dušo in telo, ki se ju ne da ločiti, razen na nenaraven način, začasno, delno. Če sem lačen in vem, da je lakota le začasna in jo bom kmalu lahko potešil, jo zlahka prenašam. Če sem lačen, a vem, da so trenutne težave neizbežne, svojo voljo usmerim v to, da se lotim temeljnega problema, ki bo vplival na mojo prihodnost. Morda sem lačen zato, ker sem se prostovoljno odločil za gladovno stavko, s čimer želim opozoriti, da se mi je zgodila krivica. Gre za tri različne vrste lakote, ki jih občutim na različne načine in ki privedejo do različnih odločitev. Kljub temu je v danem trenutku moje fiziološko stanje enako (padec glukoze v krvi), medtem ko se stanja duše, torej tudi psihološka stanja, razlikujejo.","Kaj bo zapolnilo našo potrebo po absolutnem? Zakaj je na svetu toliko zla in trpljenja? Imamo dušo in telo, ki ga ni mogoče ločiti, razen na nenaravne načine, začasno, delno. Če sem lačen in vem, da je lakota le začasna in da jo bom kmalu lahko zadovoljil, jo lahko zlahka prenašam. Če sem lačen, vendar vem, da so sedanje težave neizogibne, uporabljam svojo voljo za reševanje temeljnega problema, ki bo vplival na mojo prihodnost. Morda sem zato lačen, ker sem se prostovoljno odločil, da grem na lakoto, stavko, s katero želim opozoriti na krivico. To so trije različni načini lakote, ki jo čutim, in kapljica v moje stanje krvi."
… družbena po naravi … ,Socialna po naravi...
"Če človek hierarhično razvrsti svoje potrebe, uredi svoje življenje, vzgaja svojo inteligenco in voljo ter upošteva dejavnik trajanja, to pripomore k njegovi sreči.","Če človek uravnava svoje potrebe, uredi svoje življenje, uri svojo inteligenco in voljo ter upošteva dejavnik trajanja, to prispeva k njegovi sreči."
3,3 ali več
"V običajnem pomenu besede gre za pridobitev zmožnosti, da na samostojen način opravljamo določeno bolj ali manj fizično, ročno ali intelektualno delo. V francoskem slovarju Le Robert najdemo naslednjo definicijo: »izučitev za ročni poklic ali usvojitev tehnike«. Grška beseda technè pomeni »obrt« ali »umetnost«, pridevnik »ročno« pa zoži pomen. Torej je bolje, če rečemo, da gre pri usposabljanju pravzaprav za to, da se izučimo poklica oziroma usvojimo določeno aktivnost poklica, tehniko ali umetnost, in izpustimo pridevnik »ročno«.","V običajnem pomenu besede se nanaša na pridobitev sposobnosti za samostojno opravljanje določene vrste fizičnega, ročnega ali intelektualnega dela. V francoskem slovarju Le Robert najdemo naslednjo opredelitev: ""učenje poklica ali pridobitev tehnike."" Grška beseda technè pomeni ""obrt"" ali ""umetnost"" in pridevnik ""priročnik"" jo zoži. Zato je bolje reči, da gre pri usposabljanju pravzaprav za učenje poklica ali pridobitev določenega poklica, tehnike ali umetnosti, pridevnik ""priročnik"" pa izpusti."
